Season,Competition,Round,Club,1st Leg,2nd Leg,Home,Away,Aggregate
,UEFA Cup,QR,CSKA Sofia,,,,,
2003.0,UEFA Intertoto Cup,1R,Omagh Town,,,,,
2003.0,UEFA Intertoto Cup,2R,Cibalia,,,,,
,UEFA Cup,1Q,Nistru Otaci,,,,,
,UEFA Champions League,1Q,Široki Brijeg,,,,,
2007.0,UEFA Intertoto Cup,1R,Ararat Yerevan,,,,,
2007.0,UEFA Intertoto Cup,2R,Chornomorets Odesa,,,,,
2008.0,UEFA Intertoto Cup,1R,Cracovia Krakow,,,,,
2008.0,UEFA Intertoto Cup,2R,Sturm Graz,,,,,
,UEFA Europa League,2Q,Ventspils,,,,,
,UEFA Europa League,2Q,Ried,,,,,
,UEFA Europa League,2Q,Milsami,,,,,
,UEFA Europa League,Q3,Motherwell,,,,,
,UEFA Europa League,Q1,Neath,,,,,
,UEFA Europa League,Q2,Ferencváros,,,,,
,UEFA Europa League,Q3,Elfsborg,,,,,
,UEFA Europa League,Play-off,AZ,,,,,
,UEFA Europa League,Q2,Tirana,,,,,
,UEFA Europa League,Q3,APOEL,,,,,
