month,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
Record high °F (°C),76 (24),86 (30),96 (36),96 (36),95 (35),104 (40),111 (44),109 (43),105 (41),96 (36),90 (32),78 (26),111 (44)
Average high °F (°C),46.2 (7.9),50.4 (10.2),59.1 (15.1),68.7 (20.4),75.5 (24.2),83.5 (28.6),88.7 (31.5),89.4 (31.9),80.8 (27.1),70.3 (21.3),59.2 (15.1),48.0 (8.9),68.3 (20.2)
Average low °F (°C),26.1 (-3.3),29.0 (-1.7),37.8 (3.2),46.9 (8.3),55.7 (13.2),64.1 (17.8),68.7 (20.4),67.7 (19.8),58.9 (14.9),47.6 (8.7),39.2 (4),28.1 (-2.2),47.5 (8.6)
Record low °F (°C),-23 (-31),-24 (-31),-11 (-24),18 (-8),28 (-2),41 (5),48 (9),44 (7),29 (-2),17 (-8),5 (-15),-12 (-24),-24 (-31)
Precipitation inches (mm),1.99 (50.5),2.43 (61.7),3.54 (89.9),4.05 (102.9),4.99 (126.7),4.59 (116.6),3.18 (80.8),2.75 (69.9),4.43 (112.5),3.83 (97.3),4.19 (106.4),2.73 (69.3),"42.7 (1,084.6)"
Snowfall inches (cm),1.6 (4.1),2.0 (5.1),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),.7 (1.8),4.4 (11.2)
Avg. precipitation days (≥ 0.01 in),5.4,6.6,8.2,9.0,11.2,8.9,7.0,6.4,7.6,7.9,7.0,6.3,91.4
Avg. snowy days (≥ 0.1 in),.7,.9,0,0,0,0,0,0,0,0,0,.5,2.3
Record high °F (°C),76 (24),80 (27),89 (32),98 (37),111 (44),111 (44),114 (46),111 (44),112 (44),104 (40),87 (31),78 (26),114 (46)
Average high °F (°C),55.4 (13),61.5 (16.4),65.9 (18.8),71.1 (21.7),78.0 (25.6),84.4 (29.1),89.0 (31.7),88.8 (31.6),86.6 (30.3),78.3 (25.7),65.4 (18.6),56.0 (13.3),73.4 (23)
Average low °F (°C),37.6 (3.1),41.1 (5.1),43.3 (6.3),45.8 (7.7),50.3 (10.2),54.0 (12.2),56.0 (13.3),56.0 (13.3),54.5 (12.5),49.8 (9.9),42.7 (5.9),37.9 (3.3),47.4 (8.6)
Record low °F (°C),18 (-8),24 (-4),20 (-7),29 (-2),35 (2),31 (-1),40 (4),40 (4),39 (4),32 (0),21 (-6),15 (-9),15 (-9)
Precipitation inches (mm),4.77 (121.2),4.04 (102.6),3.09 (78.5),1.39 (35.3),0.55 (14),0.17 (4.3),0.02 (0.5),0.06 (1.5),0.24 (6.1),1.30 (33),2.75 (69.9),4.30 (109.2),22.68 (576.1)
Avg. precipitation days (≥ 0.01 in),11,10,9,6,3,1,0,0,1,3,7,10,60
