month,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
Record high °F (°C),93 (34),92 (33),98 (37),105 (41),107 (42),111 (44),110 (43),111 (44),113 (45),108 (42),101 (38),92 (33),113 (45)
Average high °F (°C),70 (21),71 (22),74 (23),77 (25),82 (28),85 (29),90 (32),92 (33),91 (33),83 (28),76 (24),70 (21),80.1 (26.6)
Average low °F (°C),45 (7),46 (8),47 (8),50 (10),55 (13),61 (16),64 (18),65 (18),63 (17),57 (14),48 (9),45 (7),53.8 (12.1)
Record low °F (°C),22 (-6),27 (-3),22 (-6),32 (0),39 (4),43 (6),45 (7),46 (8),43 (6),33 (1),29 (-2),22 (-6),22 (-6)
Precipitation inches (mm),3.53 (89.7),4.62 (117.3),2.97 (75.4),1.11 (28.2),.35 (8.9),.11 (2.8),.02 (0.5),.07 (1.8),.23 (5.8),.97 (24.6),1.07 (27.2),2.40 (61),17.45 (443.2)
Average high °F (°C),37.1 (2.8),39.7 (4.3),47.2 (8.4),57.6 (14.2),67.6 (19.8),77.0 (25),82.1 (27.8),80.8 (27.1),74.0 (23.3),63.2 (17.3),53.1 (11.7),42.3 (5.7),60.1 (15.6)
Average low °F (°C),23.1 (-4.9),25.2 (-3.8),31.4 (-0.3),41.0 (5),50.5 (10.3),60.2 (15.7),66.3 (19.1),65.6 (18.7),58.0 (14.4),46.4 (8),37.9 (3.3),28.4 (-2),44.5 (6.9)
Precipitation inches (mm),3.10 (78.7),2.79 (70.9),4.04 (102.6),4.13 (104.9),3.80 (96.5),3.64 (92.5),3.46 (87.9),3.96 (100.6),3.48 (88.4),3.64 (92.5),3.39 (86.1),3.33 (84.6),"42.75 (1,085.9)"
Snowfall inches (cm),6.8 (17.3),5.7 (14.5),3.2 (8.1),.8 (2),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),.2 (0.5),4.8 (12.2),21.4 (54.4)
Avg. precipitation days (≥ 0.01 inch),10.9,9.7,11.3,11.0,11.8,11.1,8.9,8.9,8.2,8.8,10.0,11.1,121.7
Avg. snowy days (≥ 0.1 inch),5.0,3.6,2.4,.3,0,0,0,0,0,0,.5,3.1,15.0
