month,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
Record high °F (°C),76 (24),86 (30),96 (36),96 (36),95 (35),104 (40),111 (44),109 (43),105 (41),96 (36),90 (32),78 (26),111 (44)
Average high °F (°C),46.2 (7.9),50.4 (10.2),59.1 (15.1),68.7 (20.4),75.5 (24.2),83.5 (28.6),88.7 (31.5),89.4 (31.9),80.8 (27.1),70.3 (21.3),59.2 (15.1),48.0 (8.9),68.3 (20.2)
Average low °F (°C),26.1 (-3.3),29.0 (-1.7),37.8 (3.2),46.9 (8.3),55.7 (13.2),64.1 (17.8),68.7 (20.4),67.7 (19.8),58.9 (14.9),47.6 (8.7),39.2 (4),28.1 (-2.2),47.5 (8.6)
Record low °F (°C),-23 (-31),-24 (-31),-11 (-24),18 (-8),28 (-2),41 (5),48 (9),44 (7),29 (-2),17 (-8),5 (-15),-12 (-24),-24 (-31)
Precipitation inches (mm),1.99 (50.5),2.43 (61.7),3.54 (89.9),4.05 (102.9),4.99 (126.7),4.59 (116.6),3.18 (80.8),2.75 (69.9),4.43 (112.5),3.83 (97.3),4.19 (106.4),2.73 (69.3),"42.7 (1,084.6)"
Snowfall inches (cm),1.6 (4.1),2.0 (5.1),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),.7 (1.8),4.4 (11.2)
Avg. precipitation days (≥ 0.01 in),5.4,6.6,8.2,9.0,11.2,8.9,7.0,6.4,7.6,7.9,7.0,6.3,91.4
Avg. snowy days (≥ 0.1 in),.7,.9,0,0,0,0,0,0,0,0,0,.5,2.3
Average high °F (°C),37.1 (2.8),39.7 (4.3),47.2 (8.4),57.6 (14.2),67.6 (19.8),77.0 (25),82.1 (27.8),80.8 (27.1),74.0 (23.3),63.2 (17.3),53.1 (11.7),42.3 (5.7),60.1 (15.6)
Average low °F (°C),23.1 (-4.9),25.2 (-3.8),31.4 (-0.3),41.0 (5),50.5 (10.3),60.2 (15.7),66.3 (19.1),65.6 (18.7),58.0 (14.4),46.4 (8),37.9 (3.3),28.4 (-2),44.5 (6.9)
Precipitation inches (mm),3.10 (78.7),2.79 (70.9),4.04 (102.6),4.13 (104.9),3.80 (96.5),3.64 (92.5),3.46 (87.9),3.96 (100.6),3.48 (88.4),3.64 (92.5),3.39 (86.1),3.33 (84.6),"42.75 (1,085.9)"
Snowfall inches (cm),6.8 (17.3),5.7 (14.5),3.2 (8.1),.8 (2),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),.2 (0.5),4.8 (12.2),21.4 (54.4)
Avg. precipitation days (≥ 0.01 inch),10.9,9.7,11.3,11.0,11.8,11.1,8.9,8.9,8.2,8.8,10.0,11.1,121.7
Avg. snowy days (≥ 0.1 inch),5.0,3.6,2.4,.3,0,0,0,0,0,0,.5,3.1,15.0
