round,round 1,circuit,date,pole position,fastest lap,winning rider,country,winning team,report
1,R1,Jerez,18 March,Raymond Roche,Stephane Mertens,Raymond Roche,,,
1,R2,Jerez,18 March,Raymond Roche,Raymond Roche,Raymond Roche,,,
2,R1,Donington,16 April,Giancarlo Falappa,Rob Phillis,Fred Merkel,,,
2,R2,Donington,16 April,Giancarlo Falappa,Raymond Roche,Giancarlo Falappa,,,
3,R1,Hungaroring,30 April,Malcolm Campbell,Raymond Roche,Fred Merkel,,,
3,R2,Hungaroring,30 April,Malcolm Campbell,Fred Merkel,Raymond Roche,,,
4,R1,Hockenheim,6 May,Raymond Roche,Fred Merkel,Fred Merkel,,,
4,R2,Hockenheim,6 May,Raymond Roche,Raymond Roche,Stephane Mertens,,,
5,R1,Mosport,3 June,Giancarlo Falappa,Raymond Roche,Raymond Roche,,,
5,R2,Mosport,3 June,Giancarlo Falappa,Jamie James,Raymond Roche,,,
6,R1,Brainerd,10 June,Doug Chandler,Doug Chandler,Stephane Mertens,,,
6,R2,Brainerd,10 June,Doug Chandler,Fabrizio Pirovano,Doug Chandler,,,
7,R1,Österreichring,1 July,Stephane Mertens,Rob McElnea,Fabrizio Pirovano,,,
7,R2,Österreichring,1 July,Stephane Mertens,Stephane Mertens,Stephane Mertens,,,
8,R1,Sugo,26 August,Raymond Roche,Raymond Roche,Raymond Roche,,,
8,R2,Sugo,26 August,Raymond Roche,Peter Goddard,Doug Chandler,,,
9,R1,Le Mans,9 September,Baldassarre Monti,Raymond Roche,Raymond Roche,,,
9,R2,Le Mans,9 September,Baldassarre Monti,Jamie James,Raymond Roche,,,
10,R1,Monza,7 October,Baldassarre Monti,Rob Phillis,Fabrizio Pirovano,,,
10,R2,Monza,7 October,Baldassarre Monti,Rob Phillis,Fabrizio Pirovano,,,
11,R1,Shah Alam,4 November,Rob Phillis,Fabrizio Pirovano,Fabrizio Pirovano,,,
11,R2,Shah Alam,4 November,Rob Phillis,Raymond Roche,Fabrizio Pirovano,,,
12,R1,Phillip Island,11 November,Peter Goddard,Fabrizio Pirovano,Peter Goddard,,,
12,R2,Phillip Island,11 November,Peter Goddard,Malcolm Campbell,Rob Phillis,,,
13,R1,Manfeild,18 November,Rob Phillis,Brian Morrison,Terry Rymer,,,
13,R2,Manfeild,18 November,Rob Phillis,Raymond Roche,Rob Phillis,,,
1,R1,Losail,23 February,Troy Corser,Noriyuki Haga,Troy Bayliss,Qatar,Xerox Ducati,Report
1,R2,Losail,23 February,Troy Corser,Fonsi Nieto,Fonsi Nieto,Qatar,Alstare Suzuki,Report
2,R1,Phillip Island,2 March,Troy Bayliss,Troy Bayliss,Troy Bayliss,Australia,Xerox Ducati,Report
2,R2,Phillip Island,2 March,Troy Bayliss,Max Biaggi,Troy Bayliss,Australia,Xerox Ducati,Report
3,R1,Valencia,6 April,Max Neukirchner,Noriyuki Haga,Lorenzo Lanzi,Spain,Team R.G,Report
3,R2,Valencia,6 April,Max Neukirchner,Carlos Checa,Noriyuki Haga,Spain,Yamaha Motor Italia,Report
4,R1,Assen,27 April,Troy Bayliss,Max Neukirchner,Troy Bayliss,Netherlands,Xerox Ducati,Report
4,R2,Assen,27 April,Troy Bayliss,Troy Bayliss,Troy Bayliss,Netherlands,Xerox Ducati,Report
