date,name,nationality,tonnage (grt),fate
18 January 1940,Flandria,Sweden,1179,Sunk
19 January 1940,Patria,Sweden,1188,Sunk
11 February 1940,Linda,Estonia,1213,Sunk
4 May 1940,San Tiburcio,United Kingdom,5995,Sunk (mine)
9 May 1940,Doris,French Navy,552,Sunk
11 May 1940,Tringa,United Kingdom,1930,Sunk
11 May 1940,Viiu,Estonia,1908,Sunk
23 May 1940,Sigurd Faulbaum,Belgium,3256,Sunk
11 May 1944,Shtorm,Soviet Union,412,Damaged
7 October 1941,Svend Foyn,United Kingdom,14795,Damaged
16 February 1942,Monagas,Venezuela,2650,Sunk
16 February 1942,San Nicholas,United Kingdom,2391,Sunk
16 February 1942,Tia Juana,United Kingdom,2395,Sunk
22 February 1942,J.N.Pew,United States,9033,Sunk
23 February 1942,Sun,United States,9002,Damaged
23 February 1942,Thalia,Panama,8329,Sunk
11 May 1942,Cape of Good Hope,United Kingdom,4963,Sunk
24 May 1942,Gonçalves Dias,Brazil,4996,Sunk
28 May 1942,Alcoa Pilgrim,United States,6759,Sunk
3 June 1942,M.F. Ellliot,United States,6940,Sunk
9 June 1942,Bruxelles,Belgium,5085,Sunk
9 June 1942,Franklin K. Lane,United States,6589,Sunk
15 June 1942,Cold Harbor,Panama,5010,Sunk
15 June 1942,Scottsburg,United States,8010,Sunk
15 June 1942,West Hardaway,United States,5702,Sunk
