team,manager,city,stadium,capacity
LD Alajuelense,"Oscar \El Machillo\"" Ramirez""",Alajuela,Alejandro Morera Soto,17895
Belen Siglo XXI,Vinicio Alvarado,Belen,Estadio Polideportivo de Belen,3000
CS Cartagines,Jhonny Chávez,Cartago,Fello Meza,13500
CS Herediano,Jafet Soto,Heredia,Rosabal Cordero,8144
Limon F.C.,Hernán Fernando Sossa,Limon,Estadio Nuevo de Limon/Estadio Juan Gobán,"3,000/2,000"
Orion F.C.,Martin Arreola,Tarrazú,Estadio Municipal de Tarrazú,"1,500"
Municipal Perez Zeledon,Mauricio Wright,San Isidro,Municipal,"6,000"
Puntarenas FC,Luis Fernando Fallas,Puntarenas,"\Lito\"" Perez""","4,105"
Asociacion Deportiva San Carlos,Marvin Solano,Ciudad Quesada,Carlos Álvarez,"5,600"
Santos de Guápiles,Gustavo Martinez,Guápiles,Ebal Rodriguez,"3,000"
Deportivo Saprissa,Alexander Guimaraes,Tibás,Ricardo Saprissa,"23,000"
