player,position,games started,hometown,height,weight,age
Clyde E. Bastian,Halfback Fullback,0 1,"Williamsport, PA",5-8,168.0,22.0
James Bland Catlett,Halfback,3,"Brookings, SD",,,
William D. Cochran,Guard,8,"Houghton, MI",5-8,235.0,
Maurice F. Dunne,End,3,"Springfield, IL",6-0,164.0,
John Maulbetsch,Halfback,7,"Ann Arbor, MI",5-8,168.0,
Frank Millard,Guard,3,"Ann Arbor, MI",5-7,212.0,
Walter Neimann,Center End,3 1,"Hermansville, MI",5-11,165.0,21.0
John K. Norton,Tackle Center Guard,3 2 1,"Ontonagon, MI",,,
Fred Rehor,Guard,2,"Hastings, MI",6-0,262.0,21.0
Lawrence Roehm,Quarterback,7,"Detroit, MI",5-8½,168.0,22.0
Cedric C. Smith,Fullback,5,"Bay City, MI",6-0,190.0,20.0
Karl S. Staatz,End,5,"Tacoma, WA",5-10,168.0,22.0
Robert W. Watson,Tackle,8,"Ludington, MI",5-9,174.0,
"Richard F. \Dick\"" Weske""",Guard Tackle,0 2,"New London, CT",6-0,190.0,
James L. Whalen,Tackle Guard End,2 1 1,"Savannah, NY",5-10,188.0,
