Year,Wins (majors),Earnings ($),Rank
1985,0,0,-
1986,0,113245,77
1987,1,297378,33
1988,0,156068,75
1989,0,278760,44
1990,1,537172,20
1991,1,686361,8
1992,3,1191630,2
1993,2,777059,12
1994,0,474219,33
1995,1,1111999,6
1996,1,1211139,7
1997,2 (1),1635953,3
1998,1,1541152,11
1999,0,2475328,3
2000,0,2337765,9
2001,1,3169463,5
2002,0,2056160,21
2003,4,6081896,3
2004,0,3075092,10
2005,0,2658779,13
2006,1,2747206,16
2007,0,1016489,96
2008,1,1695237,48
2009,0,1622401,52
2010,0,1214472,73
2011,0,1056300,88
2012,0,989753,100
2013,0,303470,165
Career*,20 (1),42511946,6
