coach,years,seasons,wins,losses,ties,pct
"O. B. \Rip\"" Sanderson""",1908,1,5,1,0,0.833
Ed Sabre,1920,1,3,1,0,0.75
Mack Erwin,,4,62,30,1,0.672
Chal Port,,27,641,386,2,0.624
Fred Jordan,1992-Pres,22,726,552,0,0.568
John D. McMillan,,2,14,15,0,0.483
Jim Newsome,,4,37,43,0,0.463
Bunzy O'Neal,1948,1,6,7,0,0.462
George C. Rogers,,6,26,33,1,0.441
Fred Montsdeoca,,2,22,31,0,0.415
George A. Schmick,1910,1,4,6,0,0.4
Thomas S. McMillan,"1916, 1919",2,8,12,0,0.4
Harold Manley,1954,1,5,9,0,0.35700000000000004
"\Barney\"" Legge""",1911,1,2,5,1,0.28600000000000003
"H. L. \Matty\"" Matthews""",,3,10,25,1,0.28600000000000003
Dusty Rhodes,1947,1,2,5,0,0.28600000000000003
"\Shorty\"" O'Brien""",1918,1,3,9,0,0.25
"\Bull Dog\"" Drummond""",1925,1,2,7,0,0.222
