Week,Date,Opponent,Result,Attendance
1,"September 26, 1959",at Los Angeles Rams,,71297
2,"October 4, 1959",at Philadelphia Eagles,,27023
3,"October 11, 1959",at Cleveland Browns,,65534
4,"October 18, 1959",Philadelphia Eagles,,68783
5,"October 25, 1959",at Pittsburgh Steelers,,33596
6,"November 1, 1959",Green Bay Packers,,68837
7,"November 8, 1959",Chicago Cardinals,,56779
8,"November 15, 1959",Pittsburgh Steelers,,66786
9,"November 22, 1959","at Chicago Cardinals (Bloomington, MN)",,26625
10,"November 29, 1959",Washington Redskins,,60982
11,"December 6, 1959",Cleveland Browns,,68436
12,"December 13, 1959",at Washington Redskins,,26198
