year,party affiliation,winner,number of votes,party affiliation 1,loser,number of votes 1,percentage of votes
1920,Republican,William F. Kopp,38100,Democrat,E.W. McManus,20977.0,64% - 36%
1922,Republican,William F. Kopp,26651,Democrat,John M. Lindley,14056.0,65% - 34%
1924,Republican,William F. Kopp,42711,Democrat,James M. Bell,17110.0,71% - 29%
1926,Republican,William F. Kopp,27358,Democrat,James M. Bell,11408.0,71% - 29%
1928,Republican,William F. Kopp,45806,,No Opponent,,100% - 0%
1930,Republican,William F. Kopp,27053,Democrat,Max A. Conrad,15538.0,63% - 36%
1932,Democrat,Edward C. Eicher,55378,Republican,William F. Kopp,46738.0,54% - 46%
1934,Democrat,Edward C. Eicher,48544,Republican,E. R. Hicklin,39047.0,55% - 44%
1936,Democrat,Edward C. Eicher,55721,Republican,John N. Calhoun,53474.0,51% - 49%
1938,Republican,Thomas E. Martin,46636,Democrat,James P. Gaffney,33765.0,58% - 42%
1940,Republican,Thomas E. Martin,70120,Democrat,Mrs. Zoe S. Nabers,46040.0,60% - 40%
1942,Republican,Thomas E. Martin,55139,Democrat,Vern W. Nall,32893.0,61% - 37%
1944,Republican,Thomas E. Martin,72729,Democrat,Clair A. Williams,60048.0,55% - 45%
1946,Republican,Thomas E. Martin,52488,Democrat,Clair A. Williams,32849.0,62% - 38%
1948,Republican,Thomas E. Martin,70959,Democrat,James D. France,60860.0,53% - 46%
1950,Republican,Thomas E. Martin,70058,Democrat,James D. France,43140.0,62% - 38%
1952,Republican,Thomas E. Martin,105526,Democrat,Clair A. Williams,62011.0,63% - 37%
1954,Republican,Fred Schwengel,67128,Democrat,John O'Connor,50577.0,57% - 43%
1956,Republican,Fred Schwengel,94223,Democrat,Ronald O. Bramhall,68287.0,58% - 42%
1958,Republican,Fred Schwengel,59577,Democrat,Thomas J. Dailey,51996.0,53% - 47%
1960,Republican,Fred Schwengel,104737,Democrat,Walter J. Guenther,67287.0,61% - 39%
1962,Republican,Fred Schwengel,65975,Democrat,Harold Stephens,42000.0,61% - 39%
1964,Democrat,John R. Schmidhauser,84042,Republican,Fred Schwengel,80697.0,51% - 49%
1966,Republican,Fred Schwengel,64795,Democrat,John R. Schmidhauser,60534.0,51% - 48%
1968,Republican,Fred Schwengel,91419,Democrat,John R. Schmidhauser,81049.0,53% - 47%
1970,Republican,Fred Schwengel,60270,Democrat,Edward Mezvinsky,59505.0,50% - 49%
1972,Democrat,Edward Mezvinsky,107099,Republican,Fred Schwengel,91609.0,53% - 46%
1974,Democrat,Edward Mezvinsky,75687,Republican,James A. Leach,63540.0,54% - 46%
1976,Republican,James A. Leach,109694,Democrat,Edward Mezvinsky,101024.0,52% - 48%
1978,Republican,James A. Leach,79940,Democrat,Richard E. Meyers,45037.0,63% - 36%
1980,Republican,James A. Leach,133349,Democrat,Jim Larew,72602.0,64% - 35%
1982,Republican,James A. Leach,89595,Democrat,Bill Gluba,61734.0,59% - 41%
1984,Republican,James A. Leach,131182,Democrat,Kevin Ready,65293.0,68% - 33%
1986,Republican,James A. Leach,86834,Democrat,John R. Whitaker,43985.0,66% - 34%
1988,Republican,James A. Leach,112746,Democrat,Bill Gluba,71280.0,61% - 38%
1990,Republican,James A. Leach,90042,Scattering,Scattering,151.0,99% - 1%
1992,Republican,James A. Leach,178042,Democrat,Jan J. Zonneveld,81600.0,68% - 31%
1994,Republican,James A. Leach,110448,Democrat,Glen Winekauf,69461.0,60% - 38%
1996,Republican,James A. Leach,129242,Democrat,Bob Rush,111595.0,53% - 46%
1998,Republican,James A. Leach,106419,Democrat,Bob Rush,79529.0,57% - 42%
2000,Republican,James A. Leach,164972,Democrat,Bob Simpson,96283.0,62% - 36%
2002,Republican,Jim Nussle,112280,Democrat,Ann Hutchinson,83779.0,57% - 43%
2004,Republican,Jim Nussle,159993,Democrat,Bill Gluba,125490.0,55% - 44%
2006,Democrat,Bruce Braley,113724,Republican,Mike Whalen,89471.0,56% - 44%
2008,Democrat,Bruce Braley,178229,Republican,David Hartsuch,99447.0,64% - 35%
2010,Democrat,Bruce Braley,103931,Republican,Ben Lange,99976.0,49% - 48%
