Pos,Rider,Manufacturer,Time/Retired,Points
1,Tohru Ukawa,Honda,49:50.449,25.0
2,Franco Battaini,Aprilia,+5.125,20.0
3,Loris Capirossi,Honda,+10.224,16.0
4,Shinya Nakano,Yamaha,+14.848,13.0
5,Stefano Perugini,Honda,+34.042,11.0
6,Sebastian Porto,Yamaha,+37.495,10.0
7,Jason Vincent,Honda,+44.911,9.0
8,Valentino Rossi,Aprilia,+1:01.110,8.0
9,Anthony West,TSR-Honda,+1:10.352,7.0
10,Alex Hofmann,TSR-Honda,+1:18.683,6.0
11,Luca Boscoscuro,TSR-Honda,+1:20.847,5.0
12,Lucas Oliver Bulto,Yamaha,+1:23.052,4.0
13,Roberto Rolfo,Aprilia,+1:24.329,3.0
14,Masaki Tokudome,TSR-Honda,+1:26.837,2.0
15,Fonsi Nieto,Yamaha,+1:45.669,1.0
16,David Garcia,Yamaha,+1:48.926,
17,Scott Smart,Aprilia,+1:49.730,
18,Alex Debon,Honda,+1 Lap,
19,Jarno Janssen,TSR-Honda,+1 Lap,
Ret,Alvaro Molina,Honda,Retirement,
Ret,Julien Allemand,TSR-Honda,Retirement,
Ret,Ismael Bonilla,Honda,Retirement,
Ret,Daniel Ribalta,Aprilia,Retirement,
Ret,Maurice Bolwerk,Honda,Retirement,
Ret,Tomomi Manako,Yamaha,Retirement,
Ret,Johann Stigefelt,Yamaha,Retirement,
Ret,Olivier Jacque,Yamaha,Retirement,
Ret,Jeremy McWilliams,Aprilia,Retirement,
Ret,David Ortega,TSR-Honda,Retirement,
Ret,Alfredo Rios,Aprilia,Retirement,
Ret,Ralf Waldmann,Aprilia,Retirement,
