Date,Time,Opponentnum,Ranknum,Site,TV,Result,Attendance
September 2,12:30 p.m.,WKU*,#15,"Sanford Stadium • Athens, GA",LFS,,92746
September 9,7:45 p.m.,at South Carolina,#12,"Williams-Brice Stadium • Columbia, SC",ESPN,,82513
September 16,1:00 p.m.,UAB*,#10,"Sanford Stadium • Athens, GA",CSS,,92746
September 23,12:30 p.m.,Colorado*,#9,"Sanford Stadium • Athens, GA",LFS,,92746
September 30,9:00 p.m.,at Ole Miss,#10,,ESPN2,,57184
October 7,7:45 p.m.,#13 Tennessee,#10,"Sanford Stadium • Athens, GA",ESPN,,92746
October 14,12:30 p.m.,Vanderbilt,#16,"Sanford Stadium • Athens, GA",LFS,,92746
October 21,1:00 p.m.,Mississippi State,,"Sanford Stadium • Athens, GA",,,92746
October 28,3:30 p.m.,vs. #9 Florida,,,CBS,,84572
November 4,1:00 p.m.,at Kentucky,,"Commonwealth Stadium • Lexington, KY",,,62120
November 11,12:30 p.m.,at #5 Auburn,,,LFS,,87451
November 25,3:30 p.m.,#16 Georgia Tech*,,"Sanford Stadium • Athens, GA (Clean, Old-Fashioned Hate)",CBS,,92746
December 30,8:00 p.m.,vs. #14 Virginia Tech*,,"Georgia Dome • Atlanta, GA (Chick-fil-A Bowl)",ESPN,,75406
