Pos,No.,Rider,Manufacturer,Laps,Time/Retired,Grid,Points
1,75,Mattia Pasini,Aprilia,27.0,39:44.091,3.0,25.0
2,19,Álvaro Bautista,Aprilia,27.0,+0.010,2.0,20.0
3,52,Lukáš Pešek,Derbi,27.0,+0.111,1.0,16.0
4,55,Hector Faubel,Aprilia,27.0,+9.298,10.0,13.0
5,24,Simone Corsi,Gilera,27.0,+9.372,9.0,11.0
6,1,Thomas Luthi,Honda,27.0,+10.570,13.0,10.0
7,18,Nicolás Terol,Derbi,27.0,+11.835,5.0,9.0
8,36,Mika Kallio,KTM,27.0,+11.905,4.0,8.0
9,6,Joan Olive,Aprilia,27.0,+26.017,16.0,7.0
10,33,Sergio Gadea,Aprilia,27.0,+26.172,12.0,6.0
11,32,Fabrizio Lai,Honda,27.0,+26.361,6.0,5.0
12,38,Bradley Smith,Honda,27.0,+26.389,14.0,4.0
13,11,Sandro Cortese,Honda,27.0,+26.480,11.0,3.0
14,14,Gábor Talmácsi,Honda,27.0,+26.606,7.0,2.0
15,71,Tomoyoshi Koyama,Malaguti,27.0,+27.068,15.0,1.0
16,54,Randy Krummenacher,KTM,27.0,27.192,21.0,
17,8,Lorenzo Zanetti,Aprilia,27.0,+46.145,23.0,
18,17,Stefan Bradl,KTM,27.0,+46.201,18.0,
19,95,Georg Fröhlich,Honda,27.0,+56.274,28.0,
20,35,Raffaele De Rosa,Aprilia,27.0,+56.549,25.0,
21,26,Vincent Braillard,Aprilia,27.0,+56.782,31.0,
22,12,Federico Sandi,Aprilia,27.0,+57.073,27.0,
23,15,Michele Pirro,Aprilia,27.0,+57.474,22.0,
24,29,Andrea Iannone,Aprilia,27.0,+57.707,20.0,
25,7,Alexis Masbou,Malaguti,27.0,+1:04.698,37.0,
26,16,Michele Conti,Honda,27.0,+1:04.793,32.0,
27,45,Imre Toth,Aprilia,27.0,+1:07.754,19.0,
28,43,Manuel Hernández,Aprilia,27.0,+1:17.323,30.0,
29,23,Lorenzo Baroni,Honda,27.0,+1:17.507,26.0,
30,21,Mateo Túnez,Aprilia,27.0,+1:20.583,29.0,
31,34,Esteve Rabat,Honda,27.0,+1:24.772,39.0,
32,98,Toni Wirsing,Honda,26.0,+1 Lap,42.0,
Ret,61,Robin Lässer,KTM,17.0,Retirement,36.0,
Ret,44,Karel Abraham,Aprilia,16.0,Retirement,33.0,
Ret,13,Dino Lombardi,Aprilia,13.0,Retirement,41.0,
Ret,37,Joey Litjens,Honda,11.0,Retirement,38.0,
Ret,22,Pablo Nieto,Aprilia,9.0,Retirement,8.0,
Ret,83,Clement Dunikowski,Honda,7.0,Retirement,40.0,
Ret,53,Simone Grotzkyj,Aprilia,6.0,Accident,35.0,
Ret,72,Eric Hubsch,Aprilia,5.0,Retirement,34.0,
Ret,20,Roberto Tamburini,Aprilia,4.0,Accident,24.0,
Ret,10,Ángel Rodriguez,Aprilia,1.0,Retirement,17.0,
DNS,97,Joshua Sommer,Aprilia,,,,
