Rd,Home Team,Score,Away Team,Result (W/D/L),Attendance
1,Harlequins RL,,Wigan Warriors,L,8041.0
2,Hull,,Harlequins RL,W,13313.0
3,Harlequins RL,,Wakefield Trinity Wildcats,W,3176.0
4,Castleford Tigers,,Harlequins RL,W,6268.0
5,Harlequins RL,,Huddersfield Giants,W,3284.0
6,[[]],,[[]],.,
7,[[]],,[[]],.,
CCC4,[[]],,[[]],.,
8,[[]],,[[]],.,
9,[[]],,[[]],.,
10,[[]],,[[]],.,
11,[[]],,[[]],.,
12,[[]],,[[]],.,
13 (a),[[]],,[[]],.,
14,[[]],,[[]],.,
15,[[]],,[[]],.,
16,[[]],,[[]],.,
17,[[]],,[[]],.,
18,[[]],,[[]],.,
19,[[]],,[[]],.,
20,[[]],,[[]],.,
21,[[]],,[[]],.,
22,[[]],,[[]],.,
23,[[]],,[[]],.,
24,[[]],,[[]],.,
25,[[]],,[[]],.,
26,[[]],,[[]],.,
27,[[]],,[[]],.,
ESL PO1,[[]],,[[]],.,
ESL PO2,[[]],,[[]],.,
ESL PO3,[[]],,[[]],.,
ESL GF,[[]],,[[]],.,
