Year,Champion,Score,Runner-up,Coach
1954,Boston College,,Harvard,"John \Snooks\"" Kelley"""
1956,Boston College,,Harvard,"John \Snooks\"" Kelley"""
1957,Boston College,,Boston University,"John \Snooks\"" Kelley"""
1959,Boston College,,Boston University,"John \Snooks\"" Kelley"""
1961,Boston College,,Harvard,"John \Snooks\"" Kelley"""
1963,Boston College,,Harvard,"John \Snooks\"" Kelley"""
1964,Boston College,,Boston University,"John \Snooks\"" Kelley"""
1965,Boston College,,Boston University,"John \Snooks\"" Kelley"""
1976,Boston College,,Boston University,Len Ceglarski
1983,Boston College,,Northeastern,Len Ceglarski
1994,Boston College,,Harvard,Steve Cedorchuck
2001,Boston College,,Boston University,Jerry York
2004,Boston College,,Boston University,Jerry York
2008,Boston College,,Harvard,Jerry York
2010,Boston College,,Boston University,Jerry York
2011,Boston College,,Northeastern,Jerry York
2012,Boston College,,Boston University,Jerry York
2013,Boston College,,Northeastern,Jerry York
2014,Boston College,,Northeastern,Jerry York
