Outcome,No.,Date,Tournament,Surface,Opponent in the final,Score
,1.0,2 September 2001,Mostar,Clay,Adriana Basaric,
Winner,1.0,27 January 2002,Courmayeur,Hard,Stefanie Weis,
Winner,2.0,17 February 2002,Bergamo,Hard,Rita Degli-Esposti,
,2.0,31 March 2002,,Clay,Dinara Safina,
,3.0,23 June 2002,Gorizia,Clay,Ainhoa Goni-Blanco,
,4.0,11 August 2002,Rimini,Clay,Laurence Andretto,
Winner,3.0,26 January 2003,Grenoble,Hard,Sophie Lefevre,
Winner,4.0,16 February 2003,Southampton,Hard,Magdalena Zděnovcová,
Winner,5.0,23 February 2003,Redbridge,Hard,Olga Barabanschikova,
Winner,6.0,23 March 2003,Castellon,Clay,Ľudmila Cervanová,
Winner,7.0,2 November 2003,Poitiers,Hard,Roberta Vinci,
Winner,8.0,1 March 2009,Biberach,Hard,Kirsten Flipkens,
Winner,9.0,11 April 2009,Torhout,Hard,Viktoriya Kutuzova,
Winner,10.0,11 April 2009,Mestre,Hard,Yvonne Meusburger,
