county,obama,votes,romney,votes 1,others,votes 2,total
Alameda,78.7%,469684,18.1%,108182,3.2%,19027,596893
Alpine,59.5%,389,36.1%,236,4.4%,29,654
Amador,38.6%,6830,58.1%,10281,3.3%,582,17693
Butte,46.9%,42669,48.9%,44479,4.2%,3873,91021
Calaveras,39.7%,8670,56.5%,12365,3.8%,827,21862
Colusa,38.3%,2314,59.6%,3601,2.1%,130,6045
Contra Costa,66.2%,290824,31.1%,136517,2.7%,11804,439145
Del Norte,43.4%,3791,52.8%,4614,3.8%,331,8736
El Dorado,39.5%,35166,57.3%,50973,3.2%,2859,88998
Fresno,49.7%,129129,47.9%,124490,1.8%,6078,259697
Glenn,35.9%,3301,61.3%,5632,2.8%,258,9191
Humboldt,59.7%,34457,32.6%,18825,7.7%,4404,57686
Imperial,65.2%,25136,33.2%,12776,1.6%,620,38532
Inyo,42.8%,3422,54.2%,4340,3.0%,242,8004
Kern,40.5%,89495,57.3%,126618,2.2%,4900,221013
Kings,41.4%,12979,56.4%,17671,2.2%,701,31351
Lake,56.4%,13163,39.5%,9200,4.1%,955,23318
Lassen,28.5%,3053,68.0%,7296,3.5%,376,10725
Los Angeles,69.7%,2216903,27.8%,885333,2.5%,77378,3179614
Madera,40.2%,16018,57.3%,22852,2.5%,996,39866
Marin,74.1%,99896,22.9%,30880,3.0%,3955,134731
Mariposa,39.0%,3498,57.3%,5140,3.7%,335,8973
Mendocino,66.0%,23193,27.5%,9658,6.5%,2286,35137
Merced,53.0%,33005,44.3%,27581,2.7%,1636,62222
Modoc,27.7%,1113,69.1%,2779,3.2%,130,4022
Mono,52.9%,2733,44.2%,2285,2.9%,150,5168
Monterey,67.3%,82918,30.3%,37389,2.4%,2959,123266
Napa,63.1%,35870,34.3%,19526,2.6%,1457,56853
Nevada,47.7%,24663,48.4%,24986,3.9%,2026,51675
Orange,45.6%,512440,51.9%,582332,2.5%,27892,1122664
Placer,38.9%,66818,58.2%,99921,2.9%,4972,171711
Plumas,39.9%,4026,56.8%,5721,3.3%,333,10080
Riverside,49.8%,329063,48.2%,318127,2.0%,13425,660615
Sacramento,58.1%,300503,39.1%,202514,2.8%,14565,517582
San Benito,59.1%,11276,38.5%,7343,2.4%,462,19081
San Bernardino,52.6%,305109,45.2%,262358,2.2%,13136,580603
San Diego,52.7%,626957,45.1%,536726,2.2%,25288,1188971
San Francisco,83.4%,301723,13.0%,47076,3.4%,12996,361795
San Joaquin,55.6%,114121,41.9%,86071,2.5%,5172,205364
San Luis Obispo,48.6%,61258,47.6%,59967,3.8%,4741,125966
San Mateo,72.1%,206087,25.4%,72756,2.5%,6878,285721
Santa Barbara,57.4%,94129,39.4%,64606,3.2%,5150,163885
Santa Clara,70.2%,450818,27.2%,174843,2.6%,16290,641951
Santa Cruz,75.4%,90805,20.0%,24047,4.6%,5533,120385
Shasta,33.8%,25819,62.8%,48067,3.4%,2615,76501
Sierra,36.3%,652,58.7%,1056,5.0%,90,1798
Siskiyou,40.2%,8044,55.4%,11076,4.4%,870,19990
Solano,63.3%,96783,34.1%,52092,2.6%,3965,152840
Sonoma,71.0%,153942,25.3%,54784,3.2%,8139,216865
Stanislaus,49.9%,77724,47.1%,73459,3.0%,4633,155816
Sutter,39.2%,12192,58.3%,18122,2.5%,769,31083
Tehama,34.4%,7934,61.8%,14235,3.8%,874,23043
Trinity,46.6%,2674,47.3%,2716,6.1%,349,5739
Tulare,41.2%,41752,56.2%,56956,2.6%,2571,101279
Tuolumne,40.4%,9998,56.0%,13880,3.6%,880,24758
Ventura,52.2%,170929,45.1%,147958,2.7%,8825,327712
Yolo,65.4%,48715,31.4%,23368,3.2%,2392,74475
Yuba,39.3%,7711,57.4%,11275,3.3%,660,19646
