week,date,opponent,result
1,Aug 28,at Toronto Argonauts,Loss
2,Sept 4,at Montreal Alouettes,Loss
2,Sept 6,vs. Montreal Alouettes,Loss
3,Sept 11,at Toronto Argonauts,Win
4,Sept 18,vs. Toronto Argonauts,Loss
5,Sept 25,vs. Hamilton Tiger-Cats,Loss
6,Oct 2,at Hamilton Tiger-Cats,Loss
7,Oct 9,vs. Montreal Alouettes,Loss
7,Oct 11,at Montreal Alouettes,Loss
8,Oct 16,vs. Toronto Argonauts,Loss
9,Oct 23,at Hamilton Tiger-Cats,Loss
10,Oct 30,vs. Hamilton Tiger-Cats,Loss
11,Nov 6,at Toronto Argonauts,Loss
12,Nov 13,vs. Montreal Alouettes,Win
