unnamed: 0,name,distance,date,location
1.0,Seppo Simola,20.15,"July 19, 1972","Turku, Finland"
2.0,Matti Yrjölä,20.04,"August 2, 1972","Hämeenkyrö, Finland"
3.0,Bo Grahn,20.09,"August 3, 1972","Helsinki, Finland"
4.0,Reijo Ståhlberg,20.38,"July 26, 1973","Turku, Finland"
5.0,Markku Tuokko,20.03,"August 18, 1979","Mikkeli, Finland"
6.0,Aulis Akonniemi,20.12,"July 25, 1982","Ähtäri, Finland"
7.0,Janne Ronkainen,20.02,"May 11, 1986","Leselidse, Soviet Union"
8.0,Jari Kuoppa,20.17,"June 12, 1986","Ähtäri, Finland"
9.0,Kari Töyrylä,20.05,"July 2, 1986","Kauhajoki, Finland"
10.0,Markus Koistinen,20.31,"June 13, 1993","Luumäki, Finland"
11.0,Mika Halvari,20.08,"August 4, 1993","Kotka, Finland"
12.0,Arsi Harju,20.16,"March 2, 1997","Tampere, Finland"
13.0,Timo Aaltonen,20.12,"June 20, 1998","Kuortane, Finland"
14.0,Jani Illikainen,20.43,"January 23, 1999","Haaparanda, Sweden"
15.0,Ville Tiisanoja,20.06,"July 31, 1999","Espoo, Finland"
16.0,Jarkko Haukijärvi,20.2,"July 1, 2000","Eurajoki, Finland"
17.0,Tepa Reinikainen,20.01,"February 13, 2000","Kuopio, Finland"
18.0,Conny Karlsson,20.45,"May 31, 2001","Espoo, Finland"
19.0,Robert Häggblom,20.13,"May 20, 2006","Halle, Germany"
20.0,Mika Vasara,20.04,"June 4, 2006","Leppävirta, Finland"
