Team,Home city,Stadium,Capacity,Last Season
Barak Netanya,Netanya,Yeshurun,1000,9th
Bnei HaSharon/Herzliya,Herzliya,HaYovel Herzliya,1750,10th
Hapoel Gilboa Galil,Gilboa Regional Council,Gan Ner Sports Hall,2400,2nd
Hapoel Holon,Holon,Holon City Arena,2850,5th
Hapoel Jerusalem,Jerusalem,Malha Arena,3000,4th
Ironi Ashkelon,Ashkelon,Ashkelon Sports Arena,3000,6th
Maccabi Ashdod,Ashdod,HaKiriya Arena,1260,7th
Hapoel Eilat B.C.,Eilat,Begin Arena,1100,8th (as Habik'a B.C.)
Maccabi Haifa,Haifa,Romema Arena,5000,11th
Maccabi Rishon LeZion,Rishon LeZion,Beit Maccabi Rishon,2500,3rd
Maccabi Tel Aviv,Tel Aviv,Nokia Arena,11700,1st
Hapoel Tel Aviv,Tel Aviv,Beit Maccabi Rishon,2500,1st (Liga Leumit)
