date,opponent,venue,result,attendance,scorers
7 August 2004,Plymouth Argyle,A,0-0,16063,
10 August 2004,Wigan Athletic,H,0-2,10660,
14 August 2004,Leicester City,H,2-0,11754,"Morris, Dichio"
21 August 2004,Coventry City,A,1-0,13910,Dichio
28 August 2004,Reading,H,1-0,12098,Dichio
12 September 2004,Ipswich Town,A,0-2,21246,
19 September 2004,Watford,H,0-2,10865,
22 September 2004,Derby County,H,3-1,23422,"Simpson, Ifill"
25 September 2004,Rotherham United,A,1-1,5062,Ifill
3 October 2004,Nottingham Forest,H,1-0,11233,Livermore
16 October 2004,Sunderland,A,0-1,23839,
19 October 2004,Gillingham,H,2-1,10722,"Hayles, Dunne"
23 October 2004,Cardiff City,H,2-2,10476,"Tessem, Harris"
30 October 2004,Stoke City,A,0-1,14125,
2 November 2004,Queens Park Rangers,A,1-1,16685,Hayles
5 November 2004,Sunderland,H,2-0,10513,"Wise (pen), Livermore"
13 November 2004,Preston North End,A,1-1,22977,Hayles
21 November 2004,West Ham United,H,1-0,15025,Dichio
27 November 2004,Burnley,A,0-1,11471,
30 November 2004,Crewe Alexandra,A,1-2,5409,Ifill
4 December 2004,Sheffield United,H,1-2,11207,Phillips
7 December 2004,Wolverhampton Wanderers,A,2-1,24748,"Dobie, Dichio"
11 December 2004,Brighton & Hove Albion,H,2-0,12196,"Dobie, Ifill"
18 December 2004,Leeds United,A,1-1,26265,Morris (pen)
26 December 2004,Ipswich Town,H,3-1,14532,"Hayles, Dichio, Dobie"
28 December 2004,Derby County,A,3-0,27725,Hayles (3)
1 January 2005,Watford,A,0-1,13158,
3 January 2005,Rotherham United,H,1-2,11725,Dunne
15 January 2005,Nottingham Forest,A,2-1,25949,"Hayles, Dunne"
22 January 2005,Wolverhampton Wanderers,H,1-2,13145,Wise (pen)
5 February 2005,Queens Park Rangers,H,0-0,15603,
12 February 2005,Gillingham,A,0-0,9127,
19 February 2005,Stoke City,H,0-1,11036,
22 February 2005,Cardiff City,A,1-0,11424,Dichio (pen)
26 February 2005,Brighton & Hove Albion,A,0-1,6608,
6 March 2005,Leeds United,H,1-1,11510,Robinson
12 March 2005,Wigan Athletic,A,0-2,18647,
15 March 2005,Coventry City,H,1-1,8835,Morris (pen)
20 March 2005,Plymouth Argyle,H,3-0,11465,"Sweeney, Hayles, Dichio"
2 April 2005,Leicester City,A,1-3,22338,Dichio
5 April 2005,Reading,A,1-2,14379,Dichio
9 April 2005,Crewe Alexandra,H,4-3,10767,"Hayles, Elliott, Morris, May (pen)"
16 April 2005,West Ham United,A,1-1,28221,Hayles
24 April 2005,Preston North End,H,2-1,11417,"Sweeney, Hayles"
30 April 2005,Sheffield United,A,1-0,19797,Morris
8 May 2005,Burnley,H,0-0,12171,
