year,team,games,combined tackles,tackles,assisted tackles,sacks,forced fumbles,fumble recoveries,fumble return yards,interceptions,interception return yards,yards per interception return,longest interception return,interceptions returned for touchdown,passes defended
2002,BUF,16,96,71,25,3.0,0,0,0,0,0,0,0,0,1
2003,BUF,16,28,24,4,1.0,0,0,0,0,0,0,0,0,2
2004,BUF,12,25,14,11,1.0,0,1,0,0,0,0,0,0,0
2005,BUF,13,9,6,3,0.0,1,0,0,0,0,0,0,0,0
2006,BUF,16,23,13,10,0.0,0,0,0,0,0,0,0,0,0
2007,BUF,7,4,3,1,0.0,0,0,0,0,0,0,0,0,0
2008,ATL,16,34,28,6,0.0,0,0,0,0,0,0,0,0,1
2009,ATL,16,17,15,2,0.0,1,2,0,0,0,0,0,0,1
2010,ATL,15,12,8,4,0.0,0,1,0,0,0,0,0,0,0
Career,,127,248,182,66,5.0,2,4,0,0,0,0,0,0,5
