no in season,no in series,title,canadian airdate,us airdate,production code
,,"\Summertime\""""","July 11, 2013","July 11, 2013",1301 & 1302
3.0,320.0,"\All I Wanna Do\""""","July 18, 2013","July 18, 2013",1303
4.0,321.0,"\My Own Worst Enemy\""""","July 25, 2013","July 25, 2013",1304
5.0,322.0,"\About A Girl\""""","August 1, 2013","August 1, 2013",1305
6.0,323.0,"\Cannonball\""""","August 8, 2013","August 8, 2013",1306
7.0,324.0,"\Honey\""""","August 15, 2013","August 15, 2013",1307
8.0,325.0,"\Young Forever\""""","August 22, 2013","August 22, 2013",1308
9.0,326.0,"\This Is How We Do It\""""","October 3, 2013","October 3, 2013",1309
10.0,327.0,"\You Got Me\""""","October 10, 2013","October 10, 2013",1310
11.0,328.0,"\You Oughta Know\""""","October 17, 2013","October 17, 2013",1311
12.0,329.0,"\Everything You've Done Wrong\""""","October 24, 2013","October 24, 2013",1312
13.0,330.0,"\Who Do You Think You Are\""""","October 31, 2013","October 31, 2013",1313
14.0,331.0,"\Barely Breathing\""""","November 7, 2013","November 7, 2013",1314
15.0,332.0,"\Black Or White\""""","November 14, 2013","November 14, 2013",1315
16.0,333.0,"\Spiderwebs\""""","November 21, 2013","November 21, 2013",1316
17.0,334.0,"\The World I Know\""""","January 28, 2014","January 28, 2014",1317
18.0,335.0,"\Better Man\""""","February 4, 2014","February 4, 2014",1318
19.0,336.0,"\Dig Me Out\""""","February 11, 2014","February 11, 2014",1319
20.0,337.0,"\Power to the People\""""","February 18, 2014","February 18, 2014",1320
21.0,338.0,"\No Surprises\""""","February 25, 2014","February 25, 2014",1321
22.0,339.0,"\Basket Case\""""","March 4, 2014","March 4, 2014",1322
,,"\Unbelievable\""""","March 11, 2014","March 11, 2014",1323 & 1324
25.0,342.0,"\What It's Like\""""","March 18, 2014","March 18, 2014",1325
26.0,343.0,"\Close to Me\""""","March 25, 2014","March 25, 2014",1326
27.0,344.0,"\Army of Me\""""","April 1, 2014","April 1, 2014",1327
28.0,345.0,"\Everything Is Everything\""""","April 8, 2014","April 8, 2014",1328
29.0,346.0,"\Sparks Will Fly\"" Part One""","April 15, 2014","April 15, 2014",1329
30.0,347.0,"\Sparks Will Fly\"" Part Two""","April 22, 2014","April 22, 2014",1330
31.0,348.0,"\You Are Not Alone\""""","June 3, 2014","June 3, 2014",1331
32.0,349.0,"\Enjoy The Silence\""""","June 10, 2014","June 10, 2014",1332
33.0,350.0,"\How Bizarre\""""","June 17, 2014","June 17, 2014",1333
34.0,351.0,"\My Hero\""""","June 24, 2014","June 24, 2014",1334
35.0,352.0,"\Hypnotize\""""","July 1, 2014","July 1, 2014",1335
36.0,353.0,"\Out Of My Head\""""","July 8, 2014","July 8, 2014",1336
37.0,354.0,TBA,"July 15, 2014","July 15, 2014",1337
38.0,355.0,TBA,"July 22, 2014","July 22, 2014",1338
39.0,356.0,"\Thunderstruck\"" Part One""","July 29, 2014","July 29, 2014",1339
40.0,357.0,"\Thundestruck\"" Part Two""","July 29, 2014","July 29, 2014",1340
