pos,no,driver,constructor,laps,time/retired,grid,points
1,5,Jim Clark,Lotus-Ford,80,1:59:25.6,1.0,9.0
2,2,Denny Hulme,Brabham-Repco,80,+ 12.8,4.0,6.0
3,8,Chris Amon,Ferrari,80,+ 16.6,6.0,4.0
4,1,Jack Brabham,Brabham-Repco,80,+ 21.8,3.0,3.0
5,12,Pedro Rodriguez,Cooper-Maserati,79,+ 1 Lap,9.0,2.0
6,7,John Surtees,Honda,78,+ 2 Laps,7.0,1.0
7,15,Chris Irwin,BRM,77,+ 3 Laps,13.0,
8,20,David Hobbs,BRM,77,+ 3 Laps,14.0,
9,14,Alan Rees,Cooper-Maserati,76,+ 4 Laps,15.0,
10,18,Guy Ligier,Brabham-Repco,76,+ 4 Laps,21.0,
Ret,19,Bob Anderson,Brabham-Climax,67,Engine,17.0,
Ret,6,Graham Hill,Lotus-Ford,64,Engine,2.0,
Ret,4,Mike Spence,BRM,44,Ignition,11.0,
Ret,9,Dan Gurney,Eagle-Weslake,34,Clutch,5.0,
Ret,22,Silvio Moser,Cooper-ATS,29,Oil Pressure,20.0,
Ret,11,Jochen Rindt,Cooper-Maserati,26,Engine,8.0,
Ret,3,Jackie Stewart,BRM,20,Transmission,12.0,
Ret,10,Bruce McLaren,Eagle-Weslake,14,Engine,10.0,
Ret,17,Jo Siffert,Cooper-Maserati,10,Engine,18.0,
Ret,23,Jo Bonnier,Cooper-Maserati,0,Engine,9.0,
DNS,16,Piers Courage,BRM,0,Non Starter,,
