year,single,peak chart positions ger,peak chart positions ire,peak chart positions uk,peak chart positions us,peak chart positions us main,peak chart positions us dance,album
1970,"\Memo from Turner\""""",23.0,,32.0,,,,Performance (soundtrack)
1978,"\Don't Look Back\"" (with Peter Tosh)""",,,43.0,81.0,,,Bush Doctor (Peter Tosh album)
1984,"\State of Shock\"" (with The Jacksons)""",23.0,8.0,14.0,3.0,3.0,,Victory (The Jacksons album)
1985,"\Just Another Night\""""",16.0,21.0,32.0,12.0,1.0,11.0,She's the Boss
1985,"\Lonely at the Top\""""",,,,,9.0,,She's the Boss
1985,"\Lucky in Love\""""",44.0,,91.0,38.0,5.0,11.0,She's the Boss
1985,"\Hard Woman\""""",57.0,,,,,,She's the Boss
1985,"\Dancing in the Street\"" (with David Bowie)""",6.0,1.0,1.0,7.0,3.0,4.0,Single only
1986,"\Ruthless People\""""",,,,51.0,14.0,29.0,Ruthless People (soundtrack)
1987,"\Let's Work\""""",29.0,24.0,31.0,39.0,7.0,32.0,Primitive Cool
1987,"\Throwaway\""""",,,,67.0,7.0,,Primitive Cool
1987,"\Say You Will\""""",,,,,39.0,,Primitive Cool
1993,"\Sweet Thing\""""",23.0,,24.0,84.0,34.0,,Wandering Spirit
1993,"\Wired All Night\""""",,,,,3.0,,Wandering Spirit
1993,"\Don't Tear Me Up\""""",77.0,,86.0,,1.0,,Wandering Spirit
1993,"\Out of Focus\""""",70.0,,,,,,Wandering Spirit
2001,"\God Gave Me Everything\""""",60.0,,,,24.0,,Goddess in the Doorway
2002,"\Visions of Paradise\""""",77.0,,43.0,,,,Goddess in the Doorway
2004,"\Old Habits Die Hard\"" (with Dave Stewart)""",62.0,,45.0,,,,Alfie (soundtrack)
2008,"\Charmed Life\""""",,,,,,18.0,The Very Best of Mick Jagger
2011,"\Miracle Worker\"" (with SuperHeavy)""",,,136.0,,,,SuperHeavy (SuperHeavy album)
2011,"\T.H.E (The Hardest Ever)\"" (with will.i.am & Jennifer Lopez)""",,13.0,3.0,36.0,,,#willpower (will.i.am album)
