jurisdiction,adherents,bishops,priests,monastics,monasteries,parishes
Constantinople (details),5200000,125,,1800.0,142.0,648.0
Alexandria (details),1200000,41,,,,
Antioch (details),2000000,36,,,,
Jerusalem (details),700000,20,,,,
Russia (details),150000000,217,30675.0,,807.0,30142.0
Georgia (details),3500000,37,437.0,,,600.0
Bulgaria (details),10000000,15,1500.0,,120.0,2600.0
Serbia (details),11000000,44,,,49.0,3100.0
Romania (details),17000000,53,15068.0,7605.0,359.0,15717.0
Cyprus (details),700000,16,,,67.0,
Greece (details),6000000,101,10000.0,3541.0,541.0,
Albania (details),700000,6,135.0,,150.0,909.0
Poland (details),600000,12,,,,400.0
Czech Lands & Slovakia (details),100000,6,,,,172.0
Orthodox Church in America (details),85000,10,,,20.0,700.0
Total,208785000,729,54382.0,12946.0,2236.0,54239.0
