No,No.1,Name (Birth-Death) (Title),Portrait,Term start,Term end,Political Party,Head of State
1,1,,,18 March 1945,13 August 1945,Non-party,King Norodom Sihanouk
2,2,,,14 August 1945,16 October 1945,Non-party,King Norodom Sihanouk
3,3,,,17 October 1945,15 December 1946,Non-party,King Norodom Sihanouk
4,4,,,15 December 1946,15 July 1947,Democratic Party,King Norodom Sihanouk
5,5,,,25 July 1947,20 February 1948,Democratic Party,King Norodom Sihanouk
6,6,,,20 February 1948,14 August 1948,Democratic Party,King Norodom Sihanouk
7,7,,,15 August 1948,21 January 1949,Democratic Party,King Norodom Sihanouk
8,8,,,12 February 1949,20 September 1949,Democratic Party,King Norodom Sihanouk
9,9,,,20 September 1949,29 September 1949,Democratic Party,King Norodom Sihanouk
(8),10,,,29 September 1949,28 April 1950,Democratic Party,King Norodom Sihanouk
(1),11,,,28 April 1950,30 May 1950,Non-party,King Norodom Sihanouk
10,12,,,30 May 1950,3 March 1951,Non-party,King Norodom Sihanouk
11,13,,,3 March 1951,12 October 1951,National Democratic Party,King Norodom Sihanouk
12,14,,,13 October 1951,16 June 1952,Democratic Party,King Norodom Sihanouk
(1),15,,,16 June 1952,24 January 1953,Non-party,King Norodom Sihanouk
(7),16,,,24 January 1953,9 November 1953,Democratic Party,King Norodom Sihanouk
(7),1,,,9 November 1953,22 November 1953,Democratic Party,King Norodom Sihanouk
13,2,,,23 November 1953,7 April 1954,Non-party,King Norodom Sihanouk
(1),3,,,7 April 1954,18 April 1954,Non-party,King Norodom Sihanouk
(7),4,,,18 April 1954,26 January 1955,Democratic Party,King Norodom Sihanouk
14,5,,,26 January 1955,3 October 1955,Democratic Party,King Norodom Sihanouk
14,5,,,26 January 1955,3 October 1955,Democratic Party,King Norodom Suramarit
(1),6,,,3 October 1955,5 January 1956,Sangkum (Popular Socialist Community),King Norodom Suramarit
(11),7,,,5 January 1956,29 February 1956,Sangkum (Popular Socialist Community),King Norodom Suramarit
(1),8,,,1 March 1956,24 March 1956,Sangkum (Popular Socialist Community),King Norodom Suramarit
15,9,,,3 April 1956,29 July 1956,Sangkum (Popular Socialist Community),King Norodom Suramarit
(1),10,,,15 September 1956,15 October 1956,Sangkum (Popular Socialist Community),King Norodom Suramarit
16,11,,,25 October 1956,9 April 1957,Sangkum (Popular Socialist Community),King Norodom Suramarit
(1),12,,,9 April 1957,7 July 1957,Sangkum (Popular Socialist Community),King Norodom Suramarit
17,13,,,26 July 1957,11 January 1958,Sangkum (Popular Socialist Community),King Norodom Suramarit
18,14,,,11 January 1958,17 January 1958,Sangkum (Popular Socialist Community),King Norodom Suramarit
(7),15,,,17 January 1958,24 April 1958,Sangkum (Popular Socialist Community),King Norodom Suramarit
(17),16,,,24 April 1958,10 July 1958,Sangkum (Popular Socialist Community),King Norodom Suramarit
(1),17,,,10 July 1958,19 April 1960,Sangkum (Popular Socialist Community),King Norodom Suramarit
19,18,,,19 April 1960,28 January 1961,Non-party,Chuop Hell Prince Sisowath Monireth Chuop Hell
(7),19,,,28 January 1961,17 November 1961,Sangkum (Popular Socialist Community),Prince Norodom Sihanouk
(1),20,,,17 November 1961,13 February 1962,Sangkum (Popular Socialist Community),Prince Norodom Sihanouk
—,—,,,13 February 1962,6 August 1962,Sangkum (Popular Socialist Community),Prince Norodom Sihanouk
20,21,,,6 August 1962,6 October 1962,Sangkum (Popular Socialist Community),Prince Norodom Sihanouk
21,22,,,6 October 1962,25 October 1966,Sangkum (Popular Socialist Community),Prince Norodom Sihanouk
22,23,,,25 October 1966,1 May 1967,Sangkum (Popular Socialist Community) / Military,Prince Norodom Sihanouk
23,24,,,1 May 1967,31 January 1968,Sangkum (Popular Socialist Community),Prince Norodom Sihanouk
(7),25,,,31 January 1968,14 August 1969,Sangkum (Popular Socialist Community),Prince Norodom Sihanouk
(22),26,,,14 August 1969,9 October 1970,Sangkum (Popular Socialist Community) / Military,Prince Norodom Sihanouk
(22),26,,,14 August 1969,9 October 1970,Sangkum (Popular Socialist Community) / Military,Cheng Heng
(22),1,,,9 October 1970,11 March 1971,Military,Cheng Heng
24,2,,,11 March 1971,18 March 1972,Non-party,Cheng Heng
(2),3,,,18 March 1972,15 October 1972,Khmer Serei,General Lon Nol
25,4,,,15 October 1972,6 May 1973,Social Republican Party,General Lon Nol
26,5,,(right),6 May 1973,9 December 1973,Social Republican Party,General Lon Nol
27,6,,,26 December 1973,17 April 1975,Social Republican Party,General Lon Nol General Saukam Khoy General Sak Sutsakhan
(7),1,,,17 April 1975,4 April 1976,National United Front of Kampuchea,Prince Norodom Sihanouk
28,2,,,4 April 1976,14 April 1976,Communist Party of Kampuchea,Khieu Samphan
29,3,,,14 April 1976,27 September 1976,Communist Party of Kampuchea,Khieu Samphan
30,4,,,27 September 1976,25 October 1976,Communist Party of Kampuchea,Khieu Samphan
(29),5,,,25 October 1976,7 January 1979,Communist Party of Kampuchea,Khieu Samphan
—,—,Samdach Heng Samrin (1934) Chairman of the People's Revolutionary Council (de facto Prime Minister),,7 January 1979,27 June 1981,Kampuchean People's Revolutionary Party,Samdach Heng Samrin
31,1,,,27 June 1981,5 December 1981,Kampuchean People's Revolutionary Party,Samdach Heng Samrin
32,2,,,5 December 1981,26 December 1984,Kampuchean People's Revolutionary Party,Samdach Heng Samrin
33,3,,,14 January 1985,1 May 1989,Kampuchean People's Revolutionary Party,Samdach Heng Samrin
(33),1,,,1 May 1989,2 July 1993,Kampuchean People's Revolutionary Party  dec Cambodian People's Party,Samdach Heng Samrin Samdach Chea Sim Prince Norodom Sihanouk
(33),2,,,2 July 1993,21 September 1993,Cambodian People's Party,Prince Norodom Sihanouk
34,2,,,2 July 1993,21 September 1993,Funcinpec Party,Prince Norodom Sihanouk
34,3,,,21 September 1993,24 September 1993,Funcinpec Party,Prince Norodom Sihanouk
