season,series,team,races,wins,poles,f/lap,podiums,points,position
2009.0,Star Mazda Championship,Andersen Racing,13,1,1,3,6,416.0,3rd
2010.0,Star Mazda Championship,Juncos Racing,13,7,9,7,12,539.0,1st
2011.0,Indy Lights,Sam Schmidt Motorsports,5,1,1,2,2,145.0,13th
2011.0,GP3 Series,Carlin Motorsport,16,0,0,0,0,10.0,17th
2012.0,GP3 Series,Lotus GP,16,1,0,0,5,106.0,6th
2012.0,Masters of Formula 3,Double R Racing,1,0,0,0,0,,15th
,MRF Challenge Formula 2000,MRF Challenge,10,4,0,1,6,164.0,1st
2013.0,GP2 Series,Hilmer Motorsport,2,0,0,0,0,2.0,26th
2013.0,GP3 Series,ART Grand Prix,16,1,1,1,6,126.0,3rd
2013.0,IndyCar Series,A.J. Foyt Enterprises,1,0,0,0,0,11.0,34th
2013.0,Indy Lights,Team Moore Racing,1,0,0,0,1,35.0,13th
