No.,Train No.,Origin,Destination,Train Name
1.0,12615/2616,Chennai,New Delhi,The Grand Trunk Express
2.0,12621/2622,Chennai,New Delhi,Tamil Nadu Express
3.0,12433/2434,Chennai,H.Nizamudin,Rajdhani Express
4.0,12611/2612,Chennai,H.Nizamudin,Garib Rath
5.0,11028/11027,Chennai,Mumbai,Mumbai Mail
6.0,11042/11041,Chennai,Mumbai,Mumbai Express
7.0,12842/12841,Chennai,Howrah,Coromandel Express
8.0,12840/12839,Chennai,Howrah,Howrah Mail
9.0,12679/12680,Chennai,Coimbatore,Intercity Express
10.0,12673/12674,Chennai,Coimbatore,Cheran Express
11.0,12675/12676,Chennai,Coimbatore,Kovai Express
12.0,12243/12244,Chennai,Coimbatore,Shatabdi Express
13.0,12681/12682,Chennai,Coimbatore,Coimbatore Express
14.0,12671/12672,Chennai,Mettupalayam (Coimbatore),Nilgiri Express
15.0,16627/16628,Chennai,Mangalore Central,West Coast Express
16.0,12601/12602,Chennai,Mangalore Central,Mangalore Mail
17.0,12685/12686,Chennai,Mangalore Central,Superfast Express
18.0,12656/12655,Chennai,Ahmedabad,Navjivan Express
19.0,12669/12670,Chennai,Chhapra,Ganga Kaveri Express
20.0,16057/16058,Chennai,Tirupati,Saptagiri Express
21.0,16053/16054,Chennai,Tirupati,Tirupati Express
22.0,16203/16204,Chennai,Tirupati,Garudadiri Express
23.0,12759/12760,Chennai,Hyderabad,Charminar Express
24.0,12603/12604,Chennai,Hyderabad,Hyderabad Express
25.0,16669/16670,Chennai,Erode,Yercaud Express
26.0,12639/12640,Chennai,Bangalore,Brindavan Express
27.0,12607/12608,Chennai,Bangalore,Lal Bagh Express
28.0,12657/12658,Chennai,Bangalore,Bangalore Mail
29.0,12027/12028,Chennai,Bangalore,Shatabdi Express
30.0,12609/12610,Chennai,Bangalore,Bangalore Express
31.0,12691/12692,Chennai,Satya Sai Prasanthi Nilayam,Satya Sai Prasanthi Nilayam Express
32.0,12007/12008,Chennai,Mysore,Shatabdi Express
33.0,16222/16221,Chennai,Mysore,Kaveri Express
34.0,16041/16042,Chennai,Alapuzha,Alleppey Express
35.0,12623/12624,Chennai,Trivandrum,Trivandrum Mail
36.0,12695/12696,Chennai,Trivandrum,Superfast Express
37.0,12697/12698,Chennai,Trivandrum,Trivandum Express
38.0,16089/16090,Chennai,Jolarpet Junction,Yelagiri express
39.0,16031/16032,Chennai,Jammutawi,Andaman Express
40.0,12687/12688,Chennai,Dehradun,Dehradun Express
41.0,12712/12711,Chennai,Vijayawada,Pinakini Express
42.0,12077/12078,Chennai,Vijayawada,Jan Shatabdi Express
43.0,12829/12830,Chennai,Bhubaneswar,Bhubaneswar Express
44.0,12967/12968,Chennai,Jaipur,Jaipur Express
45.0,16093/16094,Chennai,Lucknow,Lucknow Express
46.0,17311/17312,Chennai,"Vasco da Gama, Goa",Vasco Express
47.0,17313/7314,Chennai,Hubli,Hubli Express
48.0,12689/12690,Chennai,Nagercoil,Nagercoil Express
49.0,12291/12292,Chennai,Yeswantpur,Yeswantpur Express
50.0,12755/12756,Chennai,Haldia,Haldia Express
51.0,12852/12851,Chennai,Bilaspur,Bilaspur Express
