Composer,Born,Died,Nationality,Notable works for piano,Remarks
Roy Agnew,1891,1944.0,Australian,,
Theodore Akimenko (ru),1876,1945.0,"Russian, Ukrainian",IMSLP,
Malcolm Arnold,1921,2006.0,English,"Sonata for Piano (1942) Variations on a Ukrainian Folk Song, Op. 9",
Willem Andriessen,1887,1964.0,Dutch,,
Bela Bartok,1881,1945.0,Hungarian,"Mikrokosmos, Sz. 107, BB 105 Out of Doors, Sz. 81, BB 89 Romanian Folk Dances, Sz. 56, BB 68 Allegro barbaro, Sz. 49, BB 63","Folksong-influenced, Centric, Modal, Polymodal/Polytonal"
Arnold Bax,1883,1953.0,English,,"Romantic, Impressionist"
York Bowen,1884,1961.0,English,,Romantic
Frank Bridge,1879,1941.0,English,,"Late-Romantic, hints of Second Viennese School"
Ferruccio Busoni,1866,1924.0,Italian,Fantasia contrappuntistica (1910),"Mature works of indeterminate key; Late in career, neoclassical"
Alfredo Casella,1883,1947.0,Italian,,
Cecile Chaminade,1857,1944.0,French,,
Mikalojus Konstantinas Čiurlionis,1875,1911.0,Lithuanian,Piano Sonata in F major Nocturne in C-sharp minor Nocturne in F minor Impromptu in F-sharp minor,
Claude Debussy,1862,1918.0,French,"Études, L 136 Preludes (L 117 and L 123) Suite bergamasque, L 75 Deux arabesques, L 66",Impressionist
Duke Ellington,1899,1974.0,American,,Jazz
Samuil Feinberg,1890,1962.0,Russian,,
Ossip Gabrilowitsch,1878,1936.0,"Russian, American",,
George Gershwin,1898,1937.0,American,Three Preludes George Gershwin's Songbook,Jazz-influenced
Alberto Ginastera,1916,1983.0,Argentine,,Earlier works often integrate Argentine folk themes; later works increasingly abstracted
Alexander Glazunov,1865,1936.0,Russian,,Romantic
Leopold Godowsky,1870,1938.0,"Polish, American",,
Percy Grainger,1882,1961.0,"Australian, English, American",,
Enrique Granados,1867,1916.0,Spanish,,Distinctly Spanish
Scott Joplin,1867,1917.0,American,,Ragtime
Dmitri Kabalevsky,1904,1987.0,"Russian, Soviet",,
Aram Khachaturian,1903,1978.0,"Soviet, Armenian",,
Viktor Kosenko,1896,1938.0,Ukrainian,,
Joseph Lamb,1887,1960.0,American,,Ragtime
Constant Lambert,1905,1951.0,English,,
Ernesto Lecuona,1895,1963.0,Cuban,,
Nikolai Medtner,1880,1951.0,Russian,,
Erkki Melartin,1875,1937.0,Finnish,,
Olivier Messiaen,1906,1992.0,French,,
Federico Mompou,1893,1987.0,"Catalan, Spanish",,
Thelonious Monk,1917,1982.0,American,,Jazz
Nikolai Myaskovsky,1881,1950.0,"Russian, Soviet",,
Ernesto Nazareth,1863,1934.0,Brazilian,,"Eclectic influences; primarily dance music (tangos, waltzes, polkas, etc.), influenced by African and Argentine styles"
Walter Niemann,1876,1953.0,German,,Impressionist and exotic influences
Ignacy Jan Paderewski,1860,1941.0,Polish,,
Jacobo Palm,1887,1982.0,Curaçao-born,,
John Palm,1885,1925.0,Curaçao-born,,
Rudolph Palm,1880,1950.0,Curaçao-born,,
Selim Palmgren,1878,1951.0,Finnish,,
Isidor Philipp,1863,1958.0,"French, Hungarian",,
