stage,date,terrain,length,winner
1,22 June,Plain stage,215 km (134 mi),Edward Sels (BEL)
2,23 June,Plain stage,208 km (129 mi),Andre Darrigade (FRA)
3A,24 June,Plain stage,197 km (122 mi),Bernard Vandekerkhove (BEL)
3B,24 June,Team time trial,21 km (13 mi),Kas-Kaskol
4,25 June,Plain stage,292 km (181 mi),Rudi Altig (GER)
5,26 June,Plain stage,161 km (100 mi),Willy Derboven (BEL)
6,27 June,Plain stage,200 km (120 mi),Henk Nijdam (NED)
7,28 June,Plain stage,195 km (121 mi),Jan Janssen (NED)
8,29 June,Stage with mountain(s),249 km (155 mi),Federico Bahamontes (ESP)
9,30 June,Stage with mountain(s),239 km (149 mi),Jacques Anquetil (FRA)
10A,1 July,Plain stage,187 km (116 mi),Jan Janssen (NED)
10B,1 July,Individual time trial,21 km (13 mi),Jacques Anquetil (FRA)
11,2 July,Plain stage,250 km (160 mi),Edward Sels (BEL)
12,3 July,Plain stage,174 km (108 mi),Jo de Roo (NED)
13,4 July,Stage with mountain(s),170 km (110 mi),Julio Jimenez (ESP)
14,6 July,Stage with mountain(s),186 km (116 mi),Edward Sels (BEL)
15,7 July,Stage with mountain(s),203 km (126 mi),Raymond Poulidor (FRA)
16,8 July,Stage with mountain(s),197 km (122 mi),Federico Bahamontes (ESP)
17,9 July,Individual time trial,43 km (27 mi),Jacques Anquetil (FRA)
18,10 July,Plain stage,187 km (116 mi),Andre Darrigade (FRA)
19,11 July,Plain stage,215 km (134 mi),Edward Sels (BEL)
20,12 July,Stage with mountain(s),217 km (135 mi),Julio Jimenez (ESP)
21,13 July,Plain stage,311 km (193 mi),Jean Stablinski (FRA)
22A,14 July,Plain stage,119 km (74 mi),Benoni Beheyt (BEL)
22B,14 July,Individual time trial,27 km (17 mi),Jacques Anquetil (FRA)
