year,single,peak chart positions us,peak chart positions us r&b,peak chart positions aus,peak chart positions can,peak chart positions nld,peak chart positions nz,peak chart positions uk,certifications,album
1992,"\Happy Days\""""",86.0,13.0,,,,,,,Lose Control
1993,"\Freak Me\""""",1.0,1.0,3.0,43.0,42.0,9.0,46.0,US: Platinum,Lose Control
1993,"\Girl U for Me\""""",26.0,4.0,,,,30.0,67.0,,Lose Control
1993,"\Lose Control\""""",26.0,4.0,,,,,,,Lose Control
1993,"\It Had to Be You\""""",109.0,45.0,,,,,,,Lose Control
1993,"\Baby It's You\""""",,,,,,,44.0,,Lose Control
1994,"\I Can Go Deep\""""",71.0,22.0,,,,,,,A Low Down Dirty Shame / Silk
1995,"\Hooked on You\""""",54.0,12.0,,,,11.0,81.0,,Silk
1996,"\Don't Rush\""""",91.0,39.0,,,,,,,Silk
1999,"\If You (Lovin' Me)\""""",13.0,4.0,,,,28.0,,US: Gold,Tonight
1999,"\Meeting in My Bedroom\""""",62.0,15.0,,,,,,,Tonight
1999,"\Let's Make Love\""""",,58.0,,,,,,,Tonight
2001,"\We're Callin U\""""",,56.0,,,,,,,Love Session
2001,"\Ebony Eyes\""""",,,,,,,,,Love Session
2003,"\Silktime\""""",,,,,,,,,Silktime
2004,"\Side Show\""""",,66.0,,,,,,,Silktime
2006,"\The Secret Garden (Sweet Seduction Suite)\""""",,,,,,,,,Always and Forever
