stage,date,route,terrain,length,winner
P,29 June,Leiden,Individual time trial,5 km (3.1 mi),Jan Raas (NED)
1A,30 June,,Plain stage,135 km (84 mi),Jan Raas (NED)
1B,30 June,,Plain stage,100 km (62 mi),Walter Planckaert (BEL)
2,1 July,,Plain stage,199 km (124 mi),Jacques Esclassan (FRA)
3,2 July,,Plain stage,244 km (152 mi),Klaus-Peter Thaler (GER)
4,3 July,,Team time trial,153 km (95 mi),TI-Raleigh
5,4 July,,Plain stage,244 km (152 mi),Freddy Maertens (BEL)
6,5 July,,Plain stage,162 km (101 mi),Sean Kelly (IRE)
7,6 July,,Plain stage,242 km (150 mi),Freddy Maertens (BEL)
8,7 July,,Individual time trial,59 km (37 mi),Bernard Hinault (FRA)
9,8 July,,Plain stage,233 km (145 mi),Miguel Maria Lasa (ESP)
10,10 July,,Hilly stage,192 km (119 mi),Henk Lubberding (NED)
11,11 July,,Stage with mountain(s),161 km (100 mi),Mariano Martinez (FRA)
12A,12 July,,Plain stage,158 km (98 mi),Cancelled
12B,12 July,,Plain stage,96 km (60 mi),Jacques Esclassan (FRA)
13,13 July,,Hilly stage,221 km (137 mi),Paul Wellens (BEL)
14,14 July,,Individual time trial,52 km (32 mi),Joop Zoetemelk (NED)
15,15 July,,Hilly stage,196 km (122 mi),Bernard Hinault (FRA)
16,16 July,,Stage with mountain(s),241 km (150 mi),Hennie Kuiper (NED)
17,18 July,,Stage with mountain(s),225 km (140 mi),Christian Seznec (FRA)
18,19 July,,Plain stage,137 km (85 mi),Gerrie Knetemann (NED)
19,20 July,,Plain stage,182 km (113 mi),Marc Demeyer (BEL)
20,21 July,,Individual time trial,72 km (45 mi),Bernard Hinault (FRA)
21,22 July,,Plain stage,207 km (129 mi),Jan Raas (NED)
22,23 July,,Plain stage,162 km (101 mi),Gerrie Knetemann (NED)
