Rank,Island,Area (km2),Area (sq mi),Country/Countries/Region
209,Mljet,100.0,39.0,Croatia
210,Kythnos,99.0,38.0,Greece
211,Sylt,99.0,38.0,Germany
212,Askøy,99.0,38.0,Norway
213,Santa Maria Island,97.0,37.0,Portugal
214,Astypalaia,97.0,38.0,Greece
215,Amager,96.0,37.0,Denmark
216,Ithaki,96.0,37.0,Greece
217,Borðoy,95.0,37.0,"Faroe Islands, an autonomous region of  Denmark"
218,Salamis,95.0,37.0,Greece
219,Skopelos,95.0,37.0,Greece
220,Sheppey,94.0,36.0,United Kingdom
221,Gräsö,93.0,36.0,Sweden
222,Lemland,92.0,36.0,Finland
223,Vormsi,92.0,36.0,Estonia
224,Rab,91.0,36.0,Croatia
225,Eckerö,91.0,36.0,Finland
226,Öja (island),90.0,35.0,Finland
227,Vis,90.0,35.0,Croatia
228,"Rolvsøy, Finnmark",89.0,34.0,Norway
229,Tustna,89.0,34.0,Norway
230,Austra,88.0,34.0,Norway
231,Holsnøy,88.0,34.0,Norway
232,Terschelling,88.0,34.0,Netherlands
233,Ærø,88.0,34.0,Denmark
234,Belle Île,87.0,34.0,France
235,Mykonos,86.0,34.0,Greece
236,Kågen,86.0,33.0,Norway
237,Île de Re,85.0,33.0,France
238,Nordkvaløya,84.0,33.0,Norway
239,Syros,84.0,33.0,Greece
240,Aegina,83.0,32.0,Greece
241,Formentera,83.0,32.0,Spain
242,Pantelleria,83.0,32.0,Italy
243,Ytre Vikna (outer island of Vikna archipelago),83.0,32.0,Norway
244,Benbecula,82.0,32.0,United Kingdom
245,Rebbenesøya,82.0,32.0,Norway
246,Föhr,82.0,32.0,Germany
247,Tiree,78.0,30.0,United Kingdom
248,Uløya,78.0,30.0,Norway
249,Coll,77.0,30.0,United Kingdom
250,Otrøy (in Møre og Romsdal),76.0,29.0,Norway
251,Santorini,76.0,29.0,Greece
252,Lošinj,75.0,29.0,Croatia
253,Hertsön,73.0,28.0,Sweden
254,Serifos,73.0,29.0,Greece
255,Sifnos,73.0,29.0,Greece
256,Storlandet (Finnish: Iso-Nauvo) (Nagu/Nauvo main island),72.0,29.0,Finland
257,Tåsinge,70.0,27.0,Denmark
258,Ålön (in Pargas/Parainen),70.0,27.0,Finland
259,Engeløya,68.0,26.0,Norway
260,Finnøya (in Nordland),68.0,26.0,Norway
261,Alnön,68.0,26.0,Sweden
262,Gozo,67.0,26.0,Malta
263,Kasos,66.0,26.0,Greece
264,Kyrklandet (in Korpo/Korppoo),64.0,25.0,Finland
265,Alonissos,64.0,25.0,Greece
266,Vågsøy,64.0,25.0,Norway
267,Frei,63.0,24.0,Norway
268,Guernsey,63.0,24.0,"Guernsey, British  Crown dependency"
269,Ingarö,63.0,24.0,Sweden
270,Pašman,63.0,24.0,Croatia
271,Tilos,63.0,24.0,Greece
272,Raasay,62.0,24.0,United Kingdom
273,Graciosa Island,62.0,24.0,Portugal
274,Ljusterö,62.0,24.0,Sweden
275,"Bolshoy Berezovy (in Beryozovye Islands, Gulf of Finland)",60.0,23.0,Russia
276,Leka,60.0,23.0,Norway
277,Sula (in Møre og Romsdal),59.0,23.0,Norway
278,Barra,59.0,23.0,United Kingdom
279,Šolta,59.0,23.0,Croatia
280,Ombo,58.0,22.0,Norway
281,Ameland,58.0,22.0,Netherlands
282,Symi,58.0,22.0,Greece
283,Kivimaa (in Gustavs/Kustavi),57.0,22.0,Finland
284,Fanø,56.0,21.5,Denmark
285,Dzharylgach,56.0,21.5,Ukraine
286,Île de Noirmoutier,55.5,21.5,France
287,Jøa,55.0,21.0,Norway
288,Inner-Vikna (inner island of Vikna archipelago),55.0,21.0,Norway
289,Hemsön,54.0,21.0,Sweden
290,Dyrøya,53.0,20.0,Norway
291,Leros,53.0,20.0,Greece
292,Pyhämaa (in Nystad/Uusikaupunki),53.0,20.0,Finland
293,Vessölandet (in Borgå/Porvoo),52.0,20.0,Finland
294,Mörkön,52.0,20.0,Sweden
295,San Pietro Island,51.0,20.0,Italy
296,Asinara,51.0,20.0,Italy
297,Hydra,50.0,19.0,Greece
298,"Sanday, Orkney",50.0,19.0,United Kingdom
299,Ugljan,50.0,19.0,Croatia
300,Huftarøy,50.0,19.0,Norway
301,Storøya,50.0,19.0,"Svalbard,  Norway"
302,Wahlbergøya,50.0,19.0,"Svalbard,  Norway"
303,South Ronaldsay,50.0,19.0,United Kingdom
