numbers tops,numbers tops 1,numbers pre tops,names,dates,final livery,operator,withdrawn,status
86101,86201,E3191,Sir William A Stanier FRS,,British Rail Blue,AC Locomotive Group,-,Stored at Willesden TMD
86102,86202,E3150,Robert A Riddles,,InterCity,Freightliner,04/2002,Scrapped at MoD Caerwent (04/2005)
86103,86203,E3143,Andre Chapelon,,InterCity,Virgin Cross-Country,05/1995,Scrapped at Immingham RFT (11/2002)
86204,-,E3173,City of Carlisle,,InterCity,Virgin Cross-Country,08/1998,Scrapped at Immingham RFT (07/2003)
86205,86503,E3129,City of Lancaster,,Virgin Red/Black,Virgin West Coast,10/2003,Converted to 86701 (08/2009)
86206,-,E3184,City of Stoke on Trent,,Virgin Red/Black,Virgin Cross-Country,10/2002,Scrapped at Cardiff (02/2004)
86207,-,E3179,City of Lichfield,,InterCity,Virgin Cross-Country,07/2002,Scrapped at Rotherham (04/2006)
86208,-,E3141,City of Chester,,InterCity,EWS,03/2002,Scrapped at Crewe Electric TMD (07/2003)
86209,-,E3125,City of Coventry,,Anglia Railways,'one',10/2004,"Scrapped at Boreham, Essex (07/2005)"
86210,-,E3179,City of Edinburgh C.I.T. 75th Anniversary,,Rail Express Systems,EWS,12/2002,Converted to 86902 (12/2004)
86211,-,E3147,City of Milton Keynes,,InterCity,British Rail,11/1986,Written-off in Colwich accident Scrapped at Crewe Works (09/1987)
86212,-,E3151,Preston Guild Preston Guild 1328-1992,,Virgin Red/Black,FM Rail,10/2003,Scrapped at EMR Kingsbury 02/2011
86213,-,E3193,Lancashire Witch,1981-,InterCity,AC Locomotive Group,09/1998,Stored at Barrow Hill Engine Shed.
86214,-,E3106,Sans Pareil,,InterCity,Virgin Cross-Country,10/2002,Scrapped at Rotherham (03/2006)
86215,-,E3165,Joseph Chamberlain Norwich Cathedral Norfolk and Norwich Festival The Round Tabler,,Anglia Railways,'one',10/2004,Exported Hungary. (05/2012) Export Number 0450 005-8. Operated Floyd ZRt.
86216,-,E3166,Meteor,,InterCity,Virgin West Coast,04/1998,Scrapped at Immingham RFT (03/2003)
86217,86504,E3177,Comet Halley's Comet City University,,Anglia Railways,FM Rail,04/2004,Exported Hungary. (02/2013) Export Number 0450 006. Operated Floyd ZRt.
86218,-,E3175,Planet Harold Macmillan Year of Opera and Musical Theatre 1997 NHS 50,,Anglia Railways,'one',09/2004,Exported Hungary. (02/2011) Export Number 0450 004-1. Operated Floyd ZRt.
86219,-,E3196,Phoenix,,InterCity,Virgin West Coast,05/1996,Scrapped at Immingham RFT (05/2002)
86220,-,E3156,Goliath The Round Tabler,,Anglia Railways,Anglia Railways,05/2002,Scrapped at Immingham RFT (11/2003)
86221,-,E3132,Vesta BBC Look East,,Anglia Railways,Anglia Railways,05/2003,Scrapped at Immingham RFT (11/2003)
86222,86502,E3131,Fury Lloyd's List Lloyd's List 250th Anniversary Clothes Show Live,,Virgin Red/Black,Virgin Cross-Country,10/2002,Scrapped at Immingham RFT (12/2003)
86223,-,E3158,Hector Norwich Union,,Anglia Railways,FM Rail,04/2004,Scrapped at EMR Kingsbury 04/2011
86224,-,E3134,Caledonian,,InterCity,Virgin Cross-Country,07/2002,Scrapped at Rotherham (05/2006)
86225,-,E3164,Hardwicke,,Virgin Red/Black,Virgin Cross-Country,07/2002,Scrapped at Rotherham (04/2006)
86226,-,E3162,Mail Royal Mail Midlands Charles Rennie Mackintosh,,Virgin Red/Black,Virgin Cross-Country,07/2002,Scrapped at EMR Kingsbury 04/2011
86227,-,E3117,Sir Henry Johnson Golden Jubilee,,Anglia Railways (with Union Flag),'one',10/2004,Scrapped at Rotherham (07/2005)
86228,-,E3167,Vulcan Heritage,1980-,InterCity,Virgin West Coast,10/2003,Exported Hungary. (07/2013) Export number: 0450 007. Operating Floyd ZRt.
86229,-,E3119,Sir John Betjeman Lions Club International,,Virgin Red/Black,FM Rail,10/2003,Stored at Long Marston
86230,-,E3168,The Duke of Wellington,,Anglia Railways,'one',10/2004,Scrapped at EMR Kingsbury 05/2011
86231,-,E3126,Starlight Express,,Virgin Red/Black,FM Rail,07/2002,Stored at Long Marston
86232,-,E3113,Harold Macmillan Norfolk and Norwich Festival Norfolk and Norwich Festival,,Anglia Railways,'one',07/2005,Exported Hungary. (04/2010) Export Number 0450 003-3. Operated Floyd ZRt.
86233,86506,E3172,Laurence Olivier Alstom Heritage,,BR Electric Blue,Swift Rail Ltd,11/2007,Exported Bulgaria. (11/2012) Bulmarket as a spares donor.
86234,-,E3155,J B Priestley OM Suffolk - Relax Refresh Return,,Anglia Railways,'one',04/2005,Stored at Long Marston
86235,-,E3194,Novelty Harold Macmillan Crown Point,,Anglia Railways,'one',09/2005,Stored at Long Marston
86236,-,E3133,Josiah Wedgwood Master Potter 1736-1795,,Virgin Red/Black,Virgin Cross-Country,10/2002,Scrapped at Immingham RFT (12/2003)
86237,-,E3197,Sir Charles Halle University of East Anglia,,Anglia Railways,'one',04/2004,Scrapped at Cardiff (10/2004)
86238,-,E3116,European Community,,Anglia Railways,'one',10/2004,"Scrapped at Boreham, Essex (05/2005)"
86239,86507,E3169,L. S. Lowry,,Rail Express Systems,EWS,04/1996,Written-off in Stafford accident Scrapped at Crewe Electric TMD (04/1997)
86240,-,E3127,Bishop Eric Treacy,,Virgin Red/Black,Virgin Cross-Country,10/2002,Scrapped at Rotherham (04/2005)
