rank,player,county,total,opposition
1,Francis Forde,Galway,14,Roscommon
2,Niall English,Carlow,12,Westmeath
3,Kevin Broderick,Galway,10,New York
3,Gary Kirby,Limerick,10,Tipperary
3,Gary Kirby,Limerick,10,Tipperary
6,Seán McLoughlin,Westmeath,9,Carlow
6,David Martin,Meath,9,Offaly
6,Gary Kirby,Limerick,9,Antrim
9,John Byrne,Carlow,8,Westmeath
9,John Troy,Offaly,8,Laois
9,John Leahy,Tipperary,8,Kerry
9,Tom Dempsey,Wexford,8,Offaly
9,Paul Flynn,Waterford,8,Tipperary
9,Francis Forde,Galway,8,New York
