Date,Opponent,Score,Overall Record,SCBA Record
April 3,UC Santa Barbara,,,
April 6,San Diego,,,
April 7,at San Diego,,,
April 7,at San Diego,,,
April 8,at Loyola Marymount,,,
April 12,vs. UC Irvine,,,
April 13,vs. Chapman,,,
April 13,vs. UC Irvine,,,
April 14,vs. Chapman,,,
April 14,vs. Chapman,,,
April 17,Cal State LA,,,
April 20,Pepperdine,,,
April 21,at Pepperdine,,,
April 21,Pepperdine,,,
April 22,Hawaii,,,
April 24,San Diego,,,
April 27,at Long Beach State,,,
April 28,Long Beach State,,,
April 28,Long Beach State,,,
