Year,Position,Year.1,Position.1,Year.2,Position.2
1957,Did not enter,1978,Did not qualify,1998.0,Round 1
1959,Did not enter,1980,Did not qualify,2000.0,Round 1
1962,Did not enter,1982,Did not qualify,2002.0,Round 1
1963,Did not enter,1984,Round 1,2004.0,Did not qualify
1965,Did not enter,1986,Did not qualify,2006.0,Round 1
1968,Did not qualify,1988,Did not qualify,2008.0,Did not qualify
1970,Did not qualify,1990,Withdrew,2010.0,Withdrew due to rebel attack
1972,Round 1,1992,Did not qualify,2012.0,Did not qualify
1974,Withdrew,1994,Withdrew during qualifying,2013.0,Quarter-Final
1976,Did not qualify,1996,Did not qualify,,
