typ,construction time,cylinders,capacity,power,top speed
Vis-à-Vis,,1,400 cc,"2,6 kW (3,5 PS)",30 km/h (19 mph)
45 PS (33 kW; 44 hp),,1,510 cc,"3,3 kW (4,5 PS)",35 km/h (22 mph)
8 PS (6 kW; 8 hp),,1,865 cc,"5,9 kW (8 PS)",40 km/h (25 mph)
24/28 PS,,4 inline,"4,016 cc","20,6 kW (28 PS)",65 km/h (40 mph)
8/12 (8/14) PS,,2 inline,"2,008 cc",,50 km/h (31 mph)
4/8 PS,,2 V,"1,032 cc","5,9 kW (8 PS)",55 km/h (34 mph)
5/9 PS,,2 inline,"1,134 cc","6,6 kW (9 PS)",60 km/h (37 mph)
8/15 PS,,4 inline,"2,011 cc",11 kW (15 PS),55 km/h (34 mph)
11/18 PS,,4 inline,"2,799 cc","13,2 kW (18 PS)",55 km/h (34 mph)
23/50 PS,,4 inline,"5,800 cc","42,6 kW (58 PS)",
19/45 PS,,4 inline,"4,840 cc",35 kW (48 PS),
13/30 PS,,4 inline,"3,180 cc","25,7 kW (35 PS)",
10/28 PS,,4 inline,"2,612 cc",22 kW (30 PS),
K 7/15 PS,,4 inline,"1,768 cc",11 kW (15 PS),60 km/h (37 mph)
30/70 PS,,4 inline,"7,853 cc",51 kW (70 PS),115 km/h (71 mph)
35/80 PS,,4 inline,"9,081 cc","62,5 kW (85 PS)",
K 5/13 PS,,4 inline,"1,292 cc",,55 km/h (34 mph)
20/50 PS,,4 inline,"5,229 cc",40 kW (55 PS),105 km/h (65 mph)
15/40 PS,,4 inline,"3,866 cc",33 kW (45 PS),90 km/h (56 mph)
9/24 PS,,4 inline,"2,313 cc","17,6 kW (24 PS)",70 km/h (43 mph)
25/55 PS,,4 inline,"6,457 cc",44 kW (60 PS),
KL 6/16 PS,,4 inline,"1,551 cc","11,8 kW (16 PS)",60 km/h (37 mph)
12/30 PS,1914.0,4 inline,"3,115 cc","25,7 kW (35 PS)",
9/24 (9/30) PS,,4 inline,"2,298 cc",,
12/34 (12/40) PS,,4 inline,"3,115 cc",,85 km/h (53 mph)
18/60 PS,,4 inline,"4,712 cc",44 kW (60 PS),100 km/h (62 mph)
6/22 PS,,4 inline,"1,550 cc",16 kW (22 PS),75 km/h (47 mph)
10/50 PS,,6 inline,"2,580 cc",37 kW (50 PS),90 km/h (56 mph)
18/80 PS,,6 inline,"4,704 cc",59 kW (80 PS),100 km/h (62 mph)
6/25 PS,,4 inline,"1,550 cc",18 kW (25 PS),80 km/h (50 mph)
Standard 6,,6 inline,"2,540 cc",33 kW (45 PS),
Standard 8,,8 inline,"3,887 cc",,
Standard 6 A/S,,6 inline,"2,916 cc",37 kW (50 PS),
Favorit,,4 inline,"1,943 cc","25,7 kW (35 PS)",80 km/h (50 mph)
"Primus 1,5 A",,4 inline,"1,504 cc",,90 km/h (56 mph)
"Trumpf 1,5 AV",,4 inline,"1,504 cc",,95 km/h (59 mph)
Favorit 2U,,4 inline,"1,943 cc",29 kW (40 PS),90 km/h (56 mph)
Standard 6 3U,,6 inline,"2,916 cc",44 kW (60 PS),100 km/h (62 mph)
Achtzylinder,,8 inline,"3,887 cc",59 kW (80 PS),105 km/h (65 mph)
Trumpf Sport,,4 inline,"1,645 cc","34,5 kW (47 PS)",115 km/h (71 mph)
"Primus 1,7 A",,4 inline,"1,645 cc",28 kW (38 PS),95 km/h (59 mph)
"Trumpf 1,7 AV",,4 inline,"1,645 cc",28 kW (38 PS),100 km/h (62 mph)
Diplomat,,6 inline,"2,916 cc",,
Trumpf Junior 1G/E,,4 inline,995 cc,"18,4 kW (25 PS)",90 km/h (56 mph)
Trumpf Junior Sport,,4 inline,995 cc,"20,6 kW (28 PS)",110 km/h (68 mph)
"Trumpf 1,7 EV",,4 inline,"1,645 cc",28 kW (38 PS),102 km/h (63 mph)
"Primus 1,7 E",,4 inline,"1,645 cc",28 kW (38 PS),100 km/h (62 mph)
Adler 2.5-litre,,6 inline,"2,494 cc","42,6 kW (58 PS)",125 km/h (78 mph)
Adler 2.5-litre Sport,,6 inline,"2,494 cc",59 kW (80 PS),150 km/h (93 mph)
2 Liter,,4 inline,"1,910 cc",33 kW (45 PS),110 km/h (68 mph)
