Unnamed: 0,1948,1952,1956,1960,1964
all voters,50.0,45.0,42,50,61
White,50.0,43.0,41,49,59
Black,50.0,79.0,61,68,94
College educated,22.0,34.0,31,39,52
High School educated,51.0,45.0,42,52,62
Grade School educated,64.0,52.0,50,55,66
Professional & Business,19.0,36.0,32,42,54
White Collar,47.0,40.0,37,48,57
Manual worker,66.0,55.0,50,60,71
Farmer,60.0,33.0,46,48,53
Union member,76.0,,51,62,77
Not union,42.0,,35,44,56
Protestant,43.0,37.0,37,38,55
Catholic,62.0,56.0,51,78,76
Republican,,8.0,4,5,20
Independent,,35.0,30,43,56
Democrat,,77.0,85,84,87
East,48.0,45.0,40,53,68
Midwest,50.0,42.0,41,48,61
West,49.0,42.0,43,49,60
South,53.0,51.0,49,51,52
