City 2010 census,Chinese,Built-up Area,Urban Area,Level,Administrative Area,Province-level division,Remarks
Guangzhou,广州,2.8,11070654,Sub-provincial city Provincial capital National central city,12700800,Guangdong,"Incl. Shenzhen, Dongguan, Macao and part of Foshan, Jiangmen, Zhongshan, Zhuhai and Huizhou."
Shanghai,上海,"27,965,403",22265426,Municipality National central city,23019148,Shanghai,Incl. all Suzhou districts but Changshu and Zhangjiagang not yet in built-up area.
Beijing,北京,"19,785,051",19295000,Municipality National central city,19612368,Beijing,"Incl. the cities of Zhuozhou and Sanhe and Dachang Hui Autonomous County in Hebei, but not Miyun, Pinggu and Yanqing suburban districts not yet linked to built-up area."
Shantou,汕头,"11,630,447",1346708,Prefecture-level city Special Economic Zones,5391028,Guangdong,Incl. most districts of Jieyang and Chaozhou
Shenzhen,深圳,Guangzhou,10357938,Sub-provincial city Special Economic Zones,10357938,Guangdong,
Tianjin,天津,"10,290,987",11090314,Municipality National central city,12937954,Tianjin,Baodi urban District not yet in built-up area.
Chengdu,成都,"9,209,393",7677122,Sub-provincial city Provincial capital,14047625,Sichuan,Incl. 8 out of 9 urban districts plus Pi and Shuangliu counties being urbanized.
Dongguan,东莞,Guangzhou,8220937,Prefecture-level city,8220937,Guangdong,
Hangzhou,杭州,"8,156,600",6242000,Sub-provincial city Provincial capital,8700400,Zhejiang,Incl. Shaoxing and Yuecheng districts of Shaoxing city
Wuhan,武汉,"7,297,141",9780644,Sub-provincial city Provincial capital,9785392,Hubei,7 central urban districts plus Caidian and Dongxihu districts but not Water region.
Xi'an,西安,"7,168,005",6501189,Sub-provincial city Provincial capital,8467837,Shaanxi,Incl. Qindu and Weicheng urban districts of Xianyang.
Nanjing,南京,"7,165,828",7165828,Sub-provincial city Provincial capital,8004680,Jiangsu,Incl. 6 urban and 3 suburban districts.
Hong Kong,香港,"7,055,071",7055071,Special administrative region National central city,7055071,Hong Kong,Not included in Guangzhou - Shenzhen built up area.
Chongqing,重庆,"6,777,200",7457600,Municipality National central city,28846170,Chongqing,Incl. 6 urban districts plus Banan and Yubei suburban districts. Beibei District not yet built-up.
Shenyang,沈阳,"6,982,162",5967526,Sub-provincial city Provincial capital,8106171,Liaoning,Incl. all Shenyang urban districts but Shenbei plus 4 Fushun urban districts.
Quanzhou,泉州,"6,070,717",1398427,Prefecture-level city,8128530,Fujian,
Wenzhou,温州,"5,853,500",3039500,Prefecture-level city,9122100,Zhejiang,Incl. 3 urban districts plus Ruian and Yueqing cities being urbanized.
Qingdao,青岛,"5,764,400",4587200,Sub-provincial city,8715100,Shandong,Incl. 6 urban districts plus Jimo city being urbanized.
Suzhou,苏州,Shanghai,5349090,Prefecture-level city,10465994,Jiangsu,
Harbin,哈尔滨,"5,282,083",4517549,Sub-provincial city Provincial capital,10635971,Heilongjiang,Incl. 6 urban districts plus Hulan County being urbanized.
Xiamen,厦门,"5,114,758",3531347,Sub-provincial city Special Economic Zones,3531147,Fujian,"Incl. all Xiamen city plus Longwen, Xiacheng Zhangzhou urban districts and Longhai city being urbanized."
Zhengzhou,郑州,"4,867,388",4253627,Prefecture-level city Provincial capital,8626505,Henan,Incl. 6 urban districts plus Xingyang city.
Jinan,济南,"4,335,900",4335900,Sub-provincial city Provincial capital,6813800,Shandong,
Nanchang,南昌,"4,107,962",2357838,Prefecture-level city Provincial capital,5042565,Jiangxi,"Incl. Nanchang County being urbanized but not Wanli urban District, not yet in built-up area."
Changsha,长沙,"4,073,645",3093980,Prefecture-level city Provincial capital,7044118,Hunan,Incl. 5 urban districts plus Changsha County being urbanized.
Taiyuan,太原,"4,062,173",3426522,Prefecture-level city Provincial capital,4201591,Shanxi,Incl. Yuci and Qu urban districts in Jinzhong.
Shijiazhuang,石家庄,"3,995,290",2861784,Prefecture-level city Provincial capital,10163788,Hebei,"Incl. Luquan City, Zhengding and Luancheng Counties being urbanized."
Dalian,大连,"3,683,941",3683941,Sub-provincial city,6690432,Liaoning,
Kunming,昆明,"3,583,429",3583429,Prefecture-level city Provincial capital,6432212,Yunnan,Incl. 4 urban districts and Chenggong suburban District.
Wuxi,无锡,"3,542,319",3542319,Prefecture-level city,6372624,Jiangsu,
Changchun,长春,"3,530,115",3530115,Sub-provincial city Provincial capital,7677089,Jilin,
Ningbo,宁波,"3,491,597",3491597,Sub-provincial city,7605700,Zhejiang,
Zibo,淄博,"3,484,800",2980800,Prefecture-level city,4530600,Shandong,Incl. 5 urban districts plus Huantai Ccounty being urbanized.
Hefei,合肥,"3,352,076",3352076,Prefecture-level city Provincial capital,5702466,Anhui,
Changzhou,常州,"3,290,548",3290548,Prefecture-level city,4591972,Jiangsu,
Taizhou,台州,"3,269,300",1902500,Prefecture-level city,5968800,Zhejiang,Incl. Wenling city now in built-up area.
Tangshan,唐山,"3,187,171",3187171,Prefecture-level city,7577284,Hebei,
Nantong,南通,"3,180,924",2273326,Prefecture-level city,7282835,Jiangsu,Incl. Haimen city now in built-up area.
Nanning,南宁,"3,177,450",3437171,Prefecture-level city Provincial capital,6661600,Guangxi,Yongning urban District not yet in built-up area.
Guiyang,贵阳,"3,037,159",3037159,Prefecture-level city Provincial capital,4324561,Guizhou,
Ürumqi,乌鲁木齐,"2,988,715",3029372,Prefecture-level city Provincial capital,3110280,Xinjiang,Dabancheng suburban District not yet in built-up area.
Fuzhou,福州,"2,921,763",2921763,Prefecture-level city Provincial capital,7115370,Fujian,
Huai'an,淮安,"2,633,420",2633420,Prefecture-level city,4799899,Jiangsu,
Xuzhou,徐州,"2,623,066",3053078,Prefecture-level city,8580500,Jiangsu,
Linyi,临沂,"2,600,200",2600200,Prefecture-level city,10039400,Shandong,
Lanzhou,兰州,"2,492,325",2492325,Prefecture-level city Provincial capital,3616163,Gansu,
Yangzhou,扬州,"2,399,079",2399079,Prefecture-level city,4459760,Jiangsu,
Huizhou,惠州,Guangzhou,2344507,Prefecture-level city,4597002,Guangdong,2 urban districts part of Guangzhou-Shenzhen built-up area.
Anshan,鞍山,"2,238,480",1582742,Prefecture-level city,3645884,Liaoning,Incl. 4 Liaoning urban districts now in Anshan-Liaoning built-up area.
Haikou,海口,"2,046,189",2046189,Prefecture-level city Provincial capital,2046189,Hainan,
Yiwu,义乌,"2,038,400",2038400,County-level city,Jinhua,Zhejiang,Incl. Dongyang City in the Yiwu-Dongyang built-up area.
Baotou,包头,"2,034,996",2070801,Prefecture-level city,"2,650,364",Inner Mongolia,Shiguai urban District not yet urbanized.
Anyang,安阳,"1,995,760",1146761,Prefecture-level city,"5,172,834",Henan,Incl. Anyang County now in built-up area.
