Ecclesiastical Jurisdictions,Latin name,Type,Rite,Ecclesiastical Province,Established,Area (km2)
Benguela,Benguelensis,Diocese,Roman,Huambo,6 June 1970,49920
Cabinda,Cabindanus,Diocese,Roman,Luanda,2 July 1984,7120
Caxito,Caxitonsis,Diocese,Roman,Luanda,6 June 2007,25133
Dundo,Dundensis,Diocese,Roman,Luanda,9 November 2001,103130
Huambo,Huambensis,Metropolitan Archdiocese,Roman,Huambo,4 September 1940,29500
Kwito-Bie,Kvitobiensis,Diocese,Roman,Huambo,4 September 1940,71000
Luanda,Luandensis,Metropolitan Archdiocese,Roman,Luanda,1596,1074
Lubango,Lubangensis,Metropolitan Archdiocese,Roman,Lubango,27 July 1955,118000
Lwena,Lvenanus,Diocese,Roman,Saurimo,1 July 1963,199786
Malanje,Malaniensis,Metropolitan Archdiocese,Roman,Malanje,25 November 1957,107000
Mbanza Congo,Mbanzacongensis,Diocese,Roman,Luanda,7 November 1984,39459
Menongue,Menonguensis,Diocese,Roman,Lubango,10 August 1975,213309
Namibe,Namibanus,Diocese,Roman,Lubango,21 March 2009,57097
Ndalatando,Ndalatandensis,Diocese,Roman,Malanje,26 March 1990,20159
Ondjiva,Ondiivanus,Diocese,Roman,Lubango,10 August 1975,83900
Saurimo,Saurimoënsis,Metropolitan Archdiocese,Roman,Saurimo,10 August 1975,77000
Sumbe,Sumbensis,Diocese,Roman,Luanda,10 August 1975,60000
Uije,Uiiensis,Diocese,Roman,Luanda,14 March 1967,63530
Viana,Viananensis,Diocese,Roman,Luanda,6 June 2007,17206
