Year,Title,Role,Notes
1991.0,Flesh'n Blood,Penelope,1 episode
1992.0,True Colors,Lorae,1 episode
1994.0,The All-New Mickey Mouse (MMC),Herself,1 episode
,"Sister, Sister",Tamera Campbell,119 episodes
1995.0,Are You Afraid of the Dark?,Evil Chameleon,1 episode
,The Adventures of Hyperman,Emma C. Squared,8 episodes
1996.0,All That,Herself,
1997.0,Smart Guy,Roxanne,1 episode
1998.0,Blues Clues,Herself,1 episode
1999.0,Detention,Orangejella LaBelle,13 episodes
2000.0,How I Loved a Macho Boy,Jamal Santos,3 episodes
,Strong Medicine,Dr. Kayla Thorton,37 episodes
,Family Guy,Esther,Voice 3 episodes
2009.0,Roommates,Hope,13 episodes
2009.0,The Super Hero Squad Show,Misty Knight,1 episode
2011.0,Things We Do for Love,Lourdes,5 episodes
2011.0,Access Hollywood Live,Herself,Co-host
2011.0,CHRISJayify,Herself,"Episode: \Drugs Are Bad\"""""
,Tia & Tamera,Herself,Executive producer
2012.0,Christmas Angel,Daphney,
2013.0,The Real,Herself,Host
2014.0,Melissa and Joey,Gillian,Season 3 Episode 24 'To Tell the Truth'
