Name,Nationality,Position,Spartak career,Appearances,Goals
Nikolay Abramov,Soviet Union,DF,,137,1
Anatoli Akimov,Soviet Union,GK,,60,0
Dmitri Alenichev,Russia,MF,,143,21
Alex,Brazil,MF,,29,12
Vyacheslav Ambartsumyan,Soviet Union,MF,,165,31
Dimitri Ananko,Russia,DF,,150,1
Valeri Andreyev,Soviet Union,FW,,97,21
Sergei Artemyev,Soviet Union,MF,,53,0
Vasili Baranov,Belarus,MF,,120,18
Nikita Bazhenov,Russia,FW,,92,17
Sergei Bazulev,Soviet Union,DF,,90,0
Vladimir Beschastnykh,Russia,FW,,104,56
Artyom Bezrodny,Russia,MF,,55,10
Denis Boyarintsev,Russia,MF,,91,9
Aleksandr Bubnov,Soviet Union,DF,,169,3
Vladimir Bukiyevskiy,Soviet Union,DF,,199,6
Viktor Bulatov,Russia,MF,,87,7
Mikhail Bulgakov,Soviet Union,MF,,205,39
Yevgeni Bushmanov,Russia,DF,,58,2
Maksim Buznikin,Russia,FW,,55,18
Vladimir Bystrov,Russia,MF,,99,17
Fernando Cavenaghi,Argentina,FW,,51,12
Stanislav Cherchesov,Russia,GK,,149,0
Fyodor Cherenkov,Russia,MF,,398,95
Vladimir Chernyshev,Soviet Union,GK,,74,0
Viktor Chistyakov,Soviet Union,MF,,51,3
Boris Chuchelov,Soviet Union,FW,1948,19,11
Serghei Covalciuc,Moldova,MF,,90,2
Rinat Dasayev,Soviet Union,GK,,335,0
Nikolay Dementyev,Soviet Union,FW,,186,55
Valeri Dikaryov,Soviet Union,DF,,192,1
Vadim Evseev,Russia,DF,,62,3
Yuri Falin,Soviet Union,MF,,133,34
Malik Fathi,Germany,DF,,37,6
Aleksandr Filimonov,Russia,GK,,147,0
Yuri Gavrilov,Soviet Union,MF,,280,89
Edgar Gess,Soviet Union,MF,,114,26
Valeri Gladilin,Soviet Union,MF,,169,28
Georgi Glazkov,Soviet Union,FW,,106,48
Sergei Gorlukovich,Russia,DF,,83,5
Aleksandr Grebnev,Soviet Union,DF,,54,1
Nikolai Gulyayev,Soviet Union,MF,,76,7
Anatoli Ilyin,Soviet Union,FW,,228,84
Anatoli Isayev,Soviet Union,FW,,159,53
Valentin Ivakin,Soviet Union,GK,,101,0
Andrei Ivanov,Russia,DF,,109,0
Vadim Ivanov,Soviet Union,DF,,75,2
Martin Jiránek,Czech Republic,DF,,126,3
Aleksandr Kalashnikov,Soviet Union,FW,,67,16
Vasili Kalinov,Soviet Union,MF,,83,10
Maksym Kalynychenko,Ukraine,MF,,134,22
Anatoli Kanishchev,Russia,FW,"1998, 1999",25,6
Vladimir Kapustin,Soviet Union,MF,,51,1
Valery Karpin,Russia,MF,,117,28
Anzor Kavazashvili,Soviet Union,GK,,74,0
Valery Kechinov,Russia,MF,,112,35
Vagiz Khidiyatullin,Soviet Union,DF,,185,22
Dmitri Khlestov,Russia,DF,,201,6
Serafim Kholodkov,Soviet Union,DF,,90,0
Galimzyan Khusainov,Soviet Union,FW,,346,102
Nikolai Kiselyov,Soviet Union,MF,,131,16
Aleksandr Kokorev,Soviet Union,MF,,90,4
Ivan Konov,Soviet Union,FW,,85,31
Viktor Konovalov,Soviet Union,MF,,24,5
Alexey Korneyev,Soviet Union,DF,,177,0
Pavel Kornilov,Soviet Union,FW,,65,38
Radoslav Kováč,Czech Republic,MF,,101,9
Yuri Kovtun,Russia,DF,,122,7
Wojciech Kowalewski,Poland,GK,,94,0
Anatoly Krutikov,Soviet Union,DF,,269,9
Dmitri Kudryashov,Russia,MF,2002,22,5
Vasili Kulkov,Russia,DF,,93,4
Boris Kuznetsov,Soviet Union,DF,,90,0
Yevgeni Kuznetsov,Soviet Union,MF,,209,23
Igor Lediakhov,Russia,MF,,65,21
Aleksei Leontyev,Soviet Union,GK,,109,0
Boris Lobutev,Soviet Union,FW,,15,7
Gennady Logofet,Soviet Union,DF,,349,27
Evgeny Lovchev,Soviet Union,MF,,249,30
Konstantin Malinin,Soviet Union,DF,,140,7
Ramiz Mamedov,Russia,DF,,125,6
Valeri Masalitin,Russia,FW,,7,5
Vladimir Maslachenko,Soviet Union,GK,,196,0
Anatoli Maslyonkin,Soviet Union,DF,,216,8
Aleksei Melyoshin,Russia,MF,,68,5
Aleksandr Minayev,Soviet Union,MF,,92,10
Alexander Mirzoyan,Soviet Union,DF,,80,9
Vitali Mirzoyev,Soviet Union,FW,,58,4
Viktor Mishin,Soviet Union,FW,,43,8
Igor Mitreski,Macedonia,DF,,85,0
Gennady Morozov,Soviet Union,DF,,196,3
Aleksandr Mostovoi,Soviet Union,MF,,106,34
Mozart,Brazil,MF,,68,7
Ivan Mozer,Soviet Union,MF,,96,30
Mukhsin Mukhamadiev,Russia,MF,,30,13
Igor Netto,Soviet Union,MF,,368,36
Yuriy Nikiforov,Russia,DF,,85,16
Vladimir Nikonov,Soviet Union,MF,,25,5
Sergei Novikov,Soviet Union,MF,,70,12
Mikhail Ogonkov,Soviet Union,DF,,78,0
Sergei Olshansky,Soviet Union,DF,,138,7
Viktor Onopko,Russia,DF,,108,23
Nikolai Osyanin,Soviet Union,DF,,248,50
