num,date,visitor,home,pts
1,December 21,Ottawa Senators,Montreal Canadiens,2
2,December 26,Toronto Arenas,Ottawa Senators,4
3,December 31,Ottawa Senators,Toronto Arenas,4
4,January 2,Montreal Canadiens,Ottawa Senators,6
5,January 4,Ottawa Senators,Montreal Canadiens,6
6,January 9,Toronto Arenas,Ottawa Senators,8
7,January 14,Ottawa Senators,Toronto Arenas,8
8,January 16,Montreal Canadiens,Ottawa Senators,8
9,January 18,Ottawa Senators,Montreal Canadiens,8
10,January 23,Toronto Arenas,Ottawa Senators,10
11,January 25,Ottawa Senators,Montreal Canadiens,2
12,January 28,Ottawa Senators,Toronto Arenas,4
13,January 30,Montreal Canadiens,Ottawa Senators,6
14,February 6,Toronto Arenas,Ottawa Senators,8
15,February 8,Ottawa Senators,Montreal Canadiens,18
16,February 13,Montreal Canadiens,Ottawa Senators,10
17,February 18,Ottawa Senators,Toronto Arenas,12
18,February 20,Toronto Arenas,Ottawa Senators,14
