Date,Site,Winning team,Winning team.1,Losing team,Losing team.1,Series
"September 6, 1980",Fort Collins,Colorado State,21,Air Force,9,
"October 3, 1981",Colorado Springs,Air Force,28,Colorado State,14,
"October 16, 1982",Colorado Springs,Colorado State,21,Air Force,11,
"September 3, 1983",Fort Collins,Air Force,34,Colorado State,13,
"September 29, 1984",Colorado Springs,Air Force,52,Colorado State,10,
"October 19, 1985",Fort Collins,#10 Air Force,35,Colorado State,19,
"September 27, 1986",Colorado Springs,Air Force,24,Colorado State,7,
"September 26, 1987",Fort Collins,Air Force,27,Colorado State,19,
"September 3, 1988",Fort Collins,Air Force,29,Colorado State,23,
"September 30, 1989",Fort Collins,Air Force,46,Colorado State,21,
"September 1, 1990",Colorado Springs,Colorado State,35,Air Force,33,
"September 7, 1991",Fort Collins,Air Force,31,Colorado State,26,
"October 17, 1992",Colorado Springs,Colorado State,32,Air Force,28,
"September 11, 1993",Fort Collins,Colorado State,8,Air Force,5,
"September 3, 1994",Colorado Springs,Colorado State,34,Air Force,21,
"September 16, 1995",Colorado Springs,Colorado State,27,Air Force,20,
"November 2, 1996",Colorado Springs,Colorado State,42,Air Force,41,
"September 20, 1997",Fort Collins,Air Force,24,Colorado State,0,
"September 17, 1998",Colorado Springs,Air Force,30,Colorado State,27,
"November 18, 1999",Fort Collins,Colorado State,41,Air Force,21,
"November 11, 2000",Colorado Springs,Air Force,44,Colorado State,40,
"November 8, 2001",Fort Collins,Colorado State,28,Air Force,21,
"October 31, 2002",Colorado Springs,Colorado State,31,Air Force,12,
"October 16, 2003",Fort Collins,Colorado State,30,Air Force,20,
"November 20, 2004",Colorado Springs,Air Force,47,Colorado State,17,
"September 29, 2005",Fort Collins,Colorado State,41,Air Force,23,
"October 12, 2006",Colorado Springs,Air Force,24,Colorado State,21,
"October 13, 2007",Fort Collins,Air Force,45,Colorado State,21,
"November 8, 2008",Colorado Springs,Air Force,38,Colorado State,17,
"October 31, 2009",Fort Collins,Air Force,34,Colorado State,16,
"October 9, 2010",Colorado Springs,Air Force,49,Colorado State,27,
"November 26, 2011",Fort Collins,Air Force,45,Colorado State,21,
"September 29, 2012",Colorado Springs,Air Force,42,Colorado State,21,
"November 30, 2013",Fort Collins,Colorado State,58,Air Force,13,
