Number,Name,Team,Position,Years with franchise,Note
9,Bob Pettit,Atlanta Hawks,F,,
21,Dominique Wilkins,Atlanta Hawks,F,,Currently team vice president and television color analyst.
23,Lou Hudson,Atlanta Hawks,F,,
17,Ted Turner,Atlanta Hawks,—,,"As team owner. While the team presented Turner a framed Hawks jersey with No. 17, the banner raised to the rafters carried an old Hawks logo with Turner's name instead of a number."
00,Robert Parish,Boston Celtics,C,,
1,Walter A. Brown,Boston Celtics,—,,
2,Red Auerbach,Boston Celtics,—,,
3,Dennis Johnson,Boston Celtics,G,,
6,Bill Russell,Boston Celtics,C,,
10,Jo Jo White,Boston Celtics,G,,
14,Bob Cousy,Boston Celtics,G,,
15,Tom Heinsohn,Boston Celtics,F,,
16,Satch Sanders,Boston Celtics,F,,Also served as head coach (1978).
17,John Havlicek,Boston Celtics,F,,
18,Dave Cowens,Boston Celtics,C,,
19,Don Nelson,Boston Celtics,F,,
21,Bill Sharman,Boston Celtics,G,,
22,Ed Macauley,Boston Celtics,C,,
23,Frank Ramsey,Boston Celtics,F,,
24,Sam Jones,Boston Celtics,G,,
25,K. C. Jones,Boston Celtics,G,,
31,Cedric Maxwell,Boston Celtics,F,,
32,Kevin McHale,Boston Celtics,F,,
33,Larry Bird,Boston Celtics,F,,
35,Reggie Lewis,Boston Celtics,G,,Died of a heart attack while still playing for the team; number retired posthumously.
LOSCY,Jim Loscutoff,Boston Celtics,F,,Wore No. 18 but decided to keep it active; number ultimately retired for Dave Cowens.
Microphone,Johnny Most,Boston Celtics,—,,As broadcaster.
3,Dražen Petrović,Brooklyn Nets,G,,Died in a car crash while playing for the team; with the team when it was known as the New Jersey Nets. His jersey was retired posthumously.
4,Wendell Ladner,Brooklyn Nets,F,,Died in a plane crash; with the team when it was on Long Island as the New York Nets. His jersey was retired posthumously; however no banner is currently raised at the Barclays Center.
5,Jason Kidd,Brooklyn Nets,G,,
23,John Williamson,Brooklyn Nets,G,,
25,Bill Melchionni,Brooklyn Nets,G,,The team was then on Long Island as the New York Nets.
32,Julius Erving,Brooklyn Nets,F,,The team was then on Long Island as the New York Nets.
52,Buck Williams,Brooklyn Nets,F,,The team was then the New Jersey Nets.
4,Jerry Sloan,Chicago Bulls,G,,
10,Bob Love,Chicago Bulls,F,,
18,Phil Jackson,Chicago Bulls,—,,
23,Michael Jordan,Chicago Bulls,G,,Briefly wore No. 45 in 1995 & 12 for one game in 1991 (due to his jersey stolen).
33,Scottie Pippen,Chicago Bulls,F,,
—,Jerry Krause,Chicago Bulls,—,,As general manager.
7,Bingo Smith,Cleveland Cavaliers,F,,
11,Žydrūnas Ilgauskas,Cleveland Cavaliers,C,,
22,Larry Nance,Cleveland Cavaliers,F,,Briefly wore No. 6 in 1988.
25,Mark Price,Cleveland Cavaliers,G,,
34,Austin Carr,Cleveland Cavaliers,G,,
42,Nate Thurmond,Cleveland Cavaliers,C,,
43,Brad Daugherty,Cleveland Cavaliers,C,,
Microphone,Joe Tait,Cleveland Cavaliers,—,,As broadcaster.
15,Brad Davis,Dallas Mavericks,G,,
22,Rolando Blackman,Dallas Mavericks,G,,
2,Alex English,Denver Nuggets,F,,
33,David Thompson,Denver Nuggets,F,,
40,Byron Beck,Denver Nuggets,C,,
44,Dan Issel,Denver Nuggets,C,,
432,Doug Moe,Denver Nuggets,—,,As head coach; the number represents his 432 victories coaching the Nuggets.
