pos,no,driver,constructor,laps,time/retired,grid,points
1,11,Jackie Stewart,Tyrrell-Ford,80.0,1:52:21.3,1.0,9.0
2,17,Ronnie Peterson,March-Ford,80.0,+ 25.6,6.0,6.0
3,4,Jacky Ickx,Ferrari,80.0,+ 53.3,2.0,4.0
4,9,Denny Hulme,McLaren-Ford,80.0,+ 1:06.7,8.0,3.0
5,1,Emerson Fittipaldi,Lotus-Ford,79.0,+ 1 Lap,17.0,2.0
6,24,Rolf Stommelen,Surtees-Ford,79.0,+ 1 Lap,16.0,1.0
7,22,John Surtees,Surtees-Ford,79.0,+ 1 Lap,10.0,
8,27,Henri Pescarolo,March-Ford,77.0,+ 3 Laps,13.0,
9,15,Pedro Rodriguez,BRM,76.0,+ 4 Laps,5.0,
10,8,Tim Schenken,Brabham-Ford,76.0,+ 4 Laps,18.0,
Ret,14,Jo Siffert,BRM,58.0,Oil Pipe,3.0,
Ret,21,Jean-Pierre Beltoise,Matra,47.0,Differential,7.0,
Ret,20,Chris Amon,Matra,45.0,Differential,4.0,
Ret,5,Clay Regazzoni,Ferrari,24.0,Accident,11.0,
Ret,10,Peter Gethin,McLaren-Ford,22.0,Accident,14.0,
Ret,2,Reine Wisell,Lotus-Ford,21.0,Wheel bearing,12.0,
Ret,12,François Cevert,Tyrrell-Ford,5.0,Accident,15.0,
Ret,7,Graham Hill,Brabham-Ford,1.0,Accident,9.0,
DNQ,16,Howden Ganley,BRM,,,,
DNQ,6,Mario Andretti,Ferrari,,,,
DNQ,19,Nanni Galli*,March-Alfa-Romeo,,,,
DNQ,18,Alex Soler-Roig,March-Ford,,,,
DNQ,28,Skip Barber,March-Ford,,,,
