Week,Date,Opponent,Result,Attendance
1,"September 8, 2002",St. Louis Rams,,75710
2,"September 15, 2002",at San Francisco 49ers,,67685
3,"September 22, 2002",Buffalo Bills,,75359
4,"September 30, 2002",at Baltimore Ravens,,69538
5,"October 6, 2002",San Diego Chargers,,75065
6,"October 13, 2002",Miami Dolphins,,75941
7,"October 20, 2002",at Kansas City Chiefs,,78446
8,"October 27, 2002",at New England Patriots,,68436
9,Bye,Bye,Bye,Bye
10,"November 11, 2002",Oakland Raiders,,"76,643"
11,"November 17, 2002",at Seattle Seahawks,,"65,495"
12,"November 24, 2002",Indianapolis Colts,,"75,075"
13,"December 1, 2002",at San Diego Chargers,,"66,357"
14,"December 8, 2002",at New York Jets,,"78,521"
15,"December 15, 2002",Kansas City Chiefs,,"75,947"
16,"December 22, 2002",at Oakland Raiders,,"62,592"
17,"December 29, 2002",Arizona Cardinals,,"75,164"
