Outcome,No.,Date,Tournament,Surface,Partner,Opponents,Score
Runner-up,1.0,16 May 2010,"Kurume, Japan",Clay,Karolina Plišková,Sun Shengnan  Xu Yifan,
Winner,1.0,13 February 2011,"Rancho Mirage, United States",Hard,Karolina Plišková,Nadejda Guskova  Sandra Zaniewska,
Winner,2.0,7 August 2011,"Vancouver, Canada",Hard,Karolina Plišková,Jamie Hampton  N. Lertcheewakarn,
Runner-up,2.0,6 November 2011,"Taipei 5, Taiwan",Hard,Karolina Plišková,Chan Yung-jan  Zheng Jie,
Runner-up,3.0,20 November 2011,"Bratislava, Slovakia",Hard,Karolina Plišková,Naomi Broady  Kristina Mladenovic,
Winner,3.0,23 January 2012,"Andrezieux-Boutheon, France",Hard (i),Karolina Plišková,Julie Coin  Eva Hrdinová,
Winner,4.0,30 January 2012,"Grenoble, France",Hard (i),Karolina Plišková,Valentyna Ivakhnenko  Maryna Zanevska,
Runner-up,4.0,17 September 2012,"Shrewsbury, United Kingdom",Hard (i),Karolina Plišková,Vesna Dolonc  Stefanie Vögele,
Winner,5.0,12 November 2012,"Zawada, Poland",Carpet (i),Karolina Plišková,Kristina Barrois  Sandra Klemenschits,
Winner,6.0,28 October 2013,"Barnstaple, United Kingdom",Hard (i),Naomi Broady,Raluca Olaru  Tamira Paszek,
