track number,russian title,english title,music,lyrics
1,Улыбнись,Smile!,Vitas,D. Plachkovsky
2,Блаженный Гуру,Blessed Guru,Vitas,Vitas
3,Восковые фигуры,Wax Figures,Vitas,"D. Plachkovsky, Vitas, S. Pudovkin"
4,Плачет чужая тоска,Someone's Melancholy Is Crying,Vitas,D. Plachovsky
5,Аве Mария,Ave Maria,Franz Schubert,Traditional prayer
6,Холодный mир,The Cold World,V. Molchanov,D. Plachkovsky
7,Остров затонувших кораблей,The Island Of Sunken Ships,O. Gazmanov,E. Nebylova
8,Фантастические сны,Fantastic Dreams,Vitas,"Vitas, D. Plachkovsky"
9,Good-bye,Good-bye,Vitas,Vitas
10,Счастье,Happiness,Vitas,Vitas
11,Отцвели хризантеmы,Chrysanthemums Have Faded Out,N. Harito,V. Shumsky
12,Дождь в Тбилиси,Rain in Tbilisi,Vitas,Ratner
13,Слепой художник,Blind Painter,Vitas,"D. Plachkovsky, Vitas, S. Pudovkin"
14,Mилая mузыка,Lovely Music,Vitas,Vitas
15,Белоруссия,Byelorussia,Alexandra Pakhmutova,N. Dobronravov
16,До свидания,See You Later (Do Svidaniya),Vitas,Vitas
