num,date,venue,opponent,competition
1.0,10 October 2004,"Estadio Cuscatlán, San Salvador, El Salvador",El Salvador,2006 FIFA World Cup qualification
2.0,13 October 2004,"RFK Stadium, Washington, D.C., United States",Panama,2006 FIFA World Cup qualification
3.0,13 October 2004,"RFK Stadium, Washington, D.C., United States",Panama,2006 FIFA World Cup qualification
4.0,13 October 2004,"RFK Stadium, Washington, D.C., United States",Panama,2006 FIFA World Cup qualification
5.0,17 November 2004,"Columbus Crew Stadium, Columbus, United States",Jamaica,2006 FIFA World Cup qualification
6.0,9 February 2005,"Queen's Park Oval, Port of Spain, Trinidad",Trinidad and Tobago,2006 FIFA World Cup qualification
7.0,19 March 2005,"University Stadium, Albuquerque, United States",Honduras,Friendly
8.0,30 March 2005,"Legion Field, Birmingham, United States",Guatemala,2006 FIFA World Cup qualification
9.0,19 February 2006,"Pizza Hut Park, Frisco, United States",Guatemala,Friendly
10.0,9 June 2007,"The Home Depot Center, Carson, United States",Trinidad and Tobago,2007 CONCACAF Gold Cup
11.0,28 June 2007,"Estadio Jose Pachencho Romero, Maracaibo, Venezuela",Argentina,2007 Copa America
12.0,15 June 2008,"The Home Depot Center, Carson, United States",Barbados,2010 FIFA World Cup qualification
13.0,12 October 2012,"Sir Vivian Richards Stadium, Antigua, Antigua and Barbuda",Antigua and Barbuda,2014 FIFA World Cup qualification
14.0,12 October 2012,"Sir Vivian Richards Stadium, Antigua, Antigua and Barbuda",Antigua and Barbuda,2014 FIFA World Cup qualification
15.0,12 June 2013,"CenturyLink Field, Seattle, United States",Panama,2014 FIFA World Cup qualification
16.0,21 July 2013,"M&T Bank Stadium, Baltimore, United States",El Salvador,2013 CONCACAF Gold Cup
17.0,24 July 2013,"Cowboys Stadium, Arlington, United States",Honduras,2013 CONCACAF Gold Cup
18.0,14 August 2013,"Asim Ferhatović Hase Stadium, Sarajevo, Bosnia and Herzegovina",Bosnia and Herzegovina,Friendly
19.0,10 September 2013,"Columbus Crew Stadium, Columbus, United States",Mexico,2014 FIFA World Cup qualification
