week,date,opponent,attendance
1,"September 28, 1952",at Dallas Texans,17499
2,"October 4, 1952",at Philadelphia Eagles,18648
3,"October 12, 1952",at Cleveland Browns,51858
4,"October 19, 1952",Chicago Cardinals,41182
5,"October 26, 1952",Philadelphia Eagles,21458
6,"November 2, 1952",at Chicago Cardinals,27195
7,"November 9, 1952",San Francisco 49ers,54230
8,"November 16, 1952",Green Bay Packers,26723
9,"November 23, 1952",at Washington Redskins,21125
10,"November 30, 1952",at Pittsburgh Steelers,15140
11,"December 7, 1952",Washington Redskins,21237
12,"December 14, 1952",Cleveland Browns,41610
