Represents,Contestant,Age,Height,Hometown
Bocas del Toro,TBD,TBD,0.0 m (0 in),TBD
Chiriqui,TBD,TBD,0.0 m (0 in),TBD
Chiriqui Occidente,TBD,TBD,0.0 m (0 in),TBD
Cocle,TBD,TBD,0.0 m (0 in),TBD
Colon,TBD,TBD,0.0 m (0 in),TBD
Darien,TBD,TBD,0.0 m (0 in),TBD
Comarcas,TBD,TBD,0.0 m (0 in),TBD
Herrera,TBD,TBD,0.0 m (0 in),TBD
Los Santos,TBD,TBD,0.0 m (0 in),TBD
Panamá Centro,TBD,TBD,0.0 m (0 in),TBD
Panamá Este,TBD,TBD,0.0 m (0 in),TBD
Panamá Oeste,TBD,TBD,0.0 m (0 in),TBD
Veraguas,TBD,TBD,0.0 m (0 in),TBD
