player,years played
Cho Soong-Jae (630),1 (2011)
Chung Hong (717),1 (2011)
Im Kyu-tae (492),
Jeong Suk-Young (793),
Kim Hyun-Joon (908),
Kim Young-Jun (474),
Lim Yong-Kyu (288),
Seol Jae-Min (none),2 (2010-2011)
An Jae-Sung,
Bae Nam-Ju,"2 (1988, 1990)"
Baek Se-Hyun,1 (1965)
Baek Seung-Bok,
Chang Eui-jong,
Choi Boo-Kil,
Chung Hee-seok,
Chung Hee-Sung,
Chung Yong-Ho,
Im Chung-Yang,
Jeon Chang-Dae,
Jeon Young-Dai,
Ji Seung-Ho,
Ju Chang-Nam,
Jun Woong-sun,
Kim Bong-Soo,
Kim Bong-Suk,
Kim Chi-Wan,
Kim Choon-Ho,
Kim Dong-Hyun,
Kim Doo-Hwan,
Kim Jae-Sik,
Kim Ke-Hwan,1 (1960)
Kim Moon-Il,
Kim Nam-Hoon,1 (1998)
Kim Sun-Yong,"2 (2005, 2007)"
Kim Sung-Bae,
Kwon Oh-Hee,
Lee Ek-Son,1 (1968)
Lee Hyung-taik,
Lee Jeong-Min,1 (1996)
Lee Sang-Yoon,
Lee Tong-Won,1 (1962)
Lee Woo-Ryong,"2 (1981, 1983)"
Lee Seung-Hoon,
Nam Hyun-Woo,1 (2004)
Park Do-Sung,1 (1963)
Roh Gap-Taik,
Shin Han-Cheol,
Song Dong-Wook,
Song Hyeong-Keun,1 (1999)
Suk Hyun-Jun,1 (2005)
Um Hwa-Yong,1 (1960)
Yoo Jin-Sun,
Yoon Yong-il,
