rank,name,nationality,time (hand),notes
,Tommy Green,Great Britain,4:50:10,OR
,Jānis Daliņš,Latvia,4:57:20,
,Ugo Frigerio,Italy,4:59:06,
4.0,Karl Hähnel,Germany,5:06:06,
5.0,Ettore Rivolta,Italy,5:07:39,
6.0,Paul Sievert,Germany,5:16:41,
7.0,Henri Quintric,France,5:27:25,
8.0,Ernie Crosbie,United States,5:28:02,
9.0,Bill Chisholm,United States,5:51:00,
10.0,Alfred Maasik,Estonia,6:19:00,
,Henry Cieman,Canada,,DNF
,John Moralis,Greece,,DNF
,Francesco Pretti,Italy,,DNF
,Arthur Tell Schwab,Switzerland,,DNF
,Harry Hinkel,United States,,DNF
