no ,date,tournament,surface,partnering,opponent in the final,score
1.0,"September 13, 2010",Ecuador F2,Hard,Roberto Quiroz,Peter Aarts  Christopher Racz,
2.0,"April 4, 2011",Chile F2,Clay,Sergio Galdos,Guillermo Hormazábal  Rodrigo Perez,
3.0,"April 11, 2011",Chile F3,Clay,Roberto Quiroz,Luis David Martinez  Miguel Ángel Reyes-Varela,
4.0,"August 8, 2011",Peru F1,Clay,Sergio Galdos,Martin Cuevas  Guido Pella,
5.0,"August 5, 2012",Manta,Hard,Renzo Olivo,Victor Estrella  João Souza,
6.0,"August 20, 2012",Colombia F2,Clay,Ariel Behar,Nicolas Barrientos  Michael Quintero,2-1 Ret.
7.0,"August 26, 2012",Ecuador F3,Clay,Sergio Galdos,Mauricio Echazú  Guillermo Rivera-Aránguiz,"6-2, 6-1"
8.0,"October 8, 2012",Chile F8,Clay,Gustavo Sterin,Cristobal Saavedra-Corvalán  Guillermo Rivera-Aránguiz,"6-4, 7-5"
9.0,"May 13, 2013",Argentina F6,Clay,Sergio Galdos,Franco Agamenone  Jose Angel Carrizo,
10.0,"May 27, 2013",Argentina F8,Clay,Sergio Galdos,Daniel Dutra da Silva  Pablo Galdon,"6-0, 7-5"
