pos,no,rider,bike,laps,time,grid,points
1,21,Troy Bayliss,Ducati 999 F07,22,34:11.276,1,25.0
2,52,James Toseland,Honda CBR1000RR,22,+2.096,2,20.0
3,3,Max Biaggi,Suzuki GSX-R1000 K7,22,+10.143,5,16.0
4,41,Noriyuki Haga,Yamaha YZF-R1,22,+18.923,4,13.0
5,11,Troy Corser,Yamaha YZF-R1,22,+19.742,3,11.0
6,57,Lorenzo Lanzi,Ducati 999 F07,22,+24.765,10,10.0
7,111,Ruben Xaus,Ducati 999 F06,22,+27.404,8,9.0
8,76,Max Neukirchner,Suzuki GSX-R1000 K6,22,+34.614,7,8.0
9,10,Fonsi Nieto,Kawasaki ZX-10R,22,+35.339,6,7.0
10,99,Steve Martin,Honda CBR1000RR,22,+36.238,11,6.0
11,44,Roberto Rolfo,Honda CBR1000RR,22,+38.067,15,5.0
12,25,Josh Brookes,Honda CBR1000RR,22,+47.078,12,4.0
13,38,Shinichi Nakatomi,Yamaha YZF-R1,22,+58.571,17,3.0
14,96,Jakub Smrž,Ducati 999 F05,22,+1:08.000,14,2.0
15,53,Alex Polita,Suzuki GSX-R1000 K6,22,+1:22.584,18,1.0
16,73,Christian Zaiser,MV Agusta F4 1000R,22,+1:28.374,19,
17,42,Dean Ellison,Ducati 999RS,22,+1:30.184,21,
18,36,Jiri Drazdak,Yamaha YZF-R1,21,+1 Lap,20,
Ret,55,Regis Laconi,Kawasaki ZX-10R,16,Retirement,9,
Ret,84,Michel Fabrizio,Honda CBR1000RR,5,Retirement,13,
