no ,year,name,held at,number of teams,winner,runners up
1,1997,Pandanda Cup,Karada,60.0,Kaliyanda,Anjaparavanda
2,1998,Kodira Cup,Kadanga,116.0,Kullettira,Koothanda
3,1999,Ballachanda Cup,Kakotparambu,140.0,Koothanda and Kullettira,-
4,2000,Cheppudira Cup,Ponnampet,170.0,Koothanda,Nellamakkada
5,2001,Nellamakkada Cup,Ammathi,220.0,Koothanda,Cheppudira
6,2002,Chekkera Cup,Hudikeri,252.0,Kullettira,Nellamakkada
7,2003,Kaliyanda Cup,Napoklu,280.0,Nellamakkada,Konerira
8,2004,Maleyanda Cup,Madapur,235.0,Koothanda,Nellamakkada
9,2005,Biddanda Cup,Madikeri,222.0,Nellamakkada,Koothanda
10,2006,Kallichanda Cup,Ponnampet,217.0,Palanganda,Machamada
11,2007,Mandettira Cup,Kakotparambu,186.0,Mandepanda,Anjaparavanda
12,2008,Alamengada Cup,Ponnampet,216.0,Anjaparavanda,Koothanda
13,2009,Mandepanda Cup,Ammathi,231.0,Nellamakkada,Koothanda
14,2010,Maneyapanda Cup,Ponnampet,214.0,Palanganda,Mukkatira(Bonda)
15,2011,Machamada Cup,Ponnampet,228.0,Palanganda,Kaliyanda
16,2012,Iychetira Cup,Ammathi,217.0,Palanganda,Kaliyanda
17,2013,Madanda Cup,Balugodu,225.0,Anjaparavanda,Palanganda
18,2014,Thathanda Cup,Virajpet,,,
