Week,Date,Opponent,Result,Record,Attendance
1,"September 14, 1969",at Cincinnati Bengals,,,24487
2,"September 20, 1969",at Oakland Raiders,,,48477
3,"September 28, 1969",at Houston Oilers,,,40387
4,"October 4, 1969",Oakland Raiders,,,32668
5,"October 11, 1969",San Diego Chargers,,,33073
6,"October 19, 1969",at Kansas City Chiefs,,,47038
7,"October 26, 1969",Buffalo Bills,,,39194
8,"November 2, 1969",at New York Jets,,,60793
9,"November 9, 1969",at Boston Patriots,,,10665
10,"November 16, 1969",at Buffalo Bills,,,32334
11,"November 23, 1969",Houston Oilers,,,27114
12,"November 30, 1969",Boston Patriots,,,27179
13,"December 7, 1969",Denver Broncos,,,24972
14,"December 14, 1969",New York Jets,,,42148
