Yacht,Nation,Owner,Skipper,Launch year
AFR Midnight Rambler,(NSW),Ed Psaltis,Ed Psaltis,2002.0
Alacrity,(QLD),Matthew Percy,Matthew Percy,2004.0
Another Challenge,(VIC),Chris Lewin,Chris Lewin,2000.0
Another Fiasco,(QLD),Damian Suckling,Damian Suckling,1994.0
Aurora,(NSW),Jim Holley,Jim Holley,1983.0
Balance,(NSW),Paul Clitheroe,Paul Clitheroe,2006.0
Bear Necessity,(NSW),Andrew & Pauline Dally,Andrew Dally,2007.0
Berrimilla,(NSW),Alex Whitworth,Alex Whitworth,1977.0
Capriccio of Rhu,,Michele Colenso,Andrew Poole,1987.0
Challenge,(VIC),Lou Abrahams,Lou Abrahams,2004.0
Chutzpah,(VIC),Bruce Taylor,Bruce Taylor,2007.0
City Index Leopard,,Mike Slade,Mike Slade,2007.0
Cougar II,(VIC),Alan Whiteley,Alan Whiteley,2005.0
Decosolmarine Sailplane,,Decosol Marine,John Danby/Robert Bottomley,1999.0
Dehler Magic,(QLD),Greg Tobin/Charlie Preen,Greg Tobin/Charlie Preen,2000.0
DHL - The Daily Telegraph,(NSW),Kookaburra Challenge P/L,Mitch Booth,1997.0
Eleni,(NSW),Tony Levett,Tony Levett,2003.0
Endorfin,(NSW),Peter Mooney,Peter Mooney,2006.0
First Light,(NSW),Nicolas Ewald & Susan Rice,Nicolas Ewald,1981.0
Flying Fish - Arctos,(NSW),Flying Fish Properties,Andy Fairclough/James Dobie,2001.0
George Gregan Foundation,(NSW),Peter Goldsworthy,David Witt,2001.0
Georgia,(VIC),John Williams/Graeme Ainley,John Williams,2000.0
Getaway Sailing 2,(VIC),Peter Tarimo,Jay Pettifer,2000.0
Global Yacht Racing - Kioni,(NSW),Kioni Sailing Services P/L,Richard Falk,2001.0
Goldfinger,(VIC),Peter Blake & Kate Mitchell,Peter Blake,2002.0
Helsal IV,(TAS),Tony Fisher,Rob Fisher,1986.0
Huckleberry,(WA),Steve Humphries,Steve Humphries,1982.0
Hugo Boss II,,Alex Thomson Racing,Ross Daniel,2001.0
Iataia,,Marcos Rodriguez,Marc Rosenfeld,2004.0
Ichi Ban,(NSW),Matt Allen,Matt Allen,2005.0
IMAREX,(NSW),Marc & Louis Ryckmans,Ola Strand Andersen,2000.0
Impeccable,(NSW),John Walker,John Walker,1980.0
