first tops,second tops,first tops 1,second tops 1,first tops 2,second tops 2,first tops 3,second tops 3
102,101,106,105,140,104,141,105.0
142,108,143,100,144,101,145,103.0
146,109,147,111,148,114,149,121.0
150,122,160,104,161,107 & 108,162,101.0
163,110,164,101,165,111,166,104.0
167,108,168,101 & 111,169,104,170,105.0
171,101,172,116,173,115,174,118.0
175,116,176,117,177,115,178,119.0
179,120,180,124,181,124,182,123.0
183,123,184,123,185,125,186,127.0
187,126,188,126,189,126,190,130.0
201/1,201,201/2,202,201/3,203,202/1,206.0
202/2,207,202/3,205,203,204,211/1,206.0
211/2,207,211/3,205,212,204,221/1,201.0
221/2,202,221/3,203,222/1,206,222/2,205.0
223/1,201,223/2,202,223/3,203,224,207.0
225,203,261,251,,,,
